,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
142573,403063,Do you understand?,Do you understand? Do you understand? Do you understand?,Do you understand? | Do you understand? | Do you understand?,Do you understand?,Do you understand? | Do you understand?,Do you understand? | Do you understand?,Do you understand? | Do you understand? | Do you understand?,Do you understand? | Do you understand? | Do you understand?,Do you understand? | Do you understand? | Do you understand?,Understand? | Understand?,You understand? | You understand? | You understand? | You understand?,Do you understand? | Do you understand? | Do you learn? | Do you understand? | Do you learn? | Do you understand?,Do you understand? | Do you understand?,Do you understand? Do you understand? Do you understand? Do you understand?
142683,404046,I'm at home.,I'm at home I'm at home.,I'm home.,I am at home. | I am at home.,I'm at home. | I'm at home.,I'm home.,I'm home. | I'm home.,I'm home. | I'm home. | I'm in the house.,I'm at home. | I'm at home. | I'm at home. | I'm at home.,I'm at home.,I'm home.,I am at home. | I am at home already. | I am at home.,I'm home. | I'm home.,I'm home.
142692,404096,I'm hungry!,I'm hungry! I'm hungry!,I'm hungry.,I am hungry. | I am hungry. | I am hungry! | I am hungry in the field! | I am hungry in the field!,I'm hungry!,I'm hungry! | I'm hungry!,I'm hungry! | I'm hungry! | I'm hungry. | I'm hungry.,I'm hungry! I'm hungry! I'm hungry! I'm hungry! I'm hungry! I'm hungry! I'm hungry!,"I'm hungry! | Oh, I'm hungry. | I'm hungry. | I'm hungry. | I'm hungry. | I'm hungry.",I'm hungry. | I'm hungry!,I am hungry. | I want to eat! | I am hungry! | I am hungry! | I am hungry! | I am hungry!,I'm hungry! | I'm hungry. | I'm hungry already. | I'm hungry.,I open it. | Open it! | Open it! | Open it! | Open it!,I'm hungry! | I'm hungry! | I want to eat! | I'm hungry. | I want to eat.
142693,404098,Do you understand what I'm saying?,Do you understand what I mean?,Do you understand what I'm saying?,Do you understand what I am saying? Do you understand what I am saying? Do you understand what I am saying? Do you understand what I am saying? Do you understand what I am saying? Do you understand what I am saying? Do you understand what I am saying? Do you understand what I am saying?,Do you understand what I am saying? | Do you understand what I am saying?,Do you understand what I said? | Do you understand what I say? | Do you understand what I say?,Do you understand what I'm saying? Do you understand what I'm saying? Do you understand what I'm saying? Do you understand what I'm saying? Do you understand what I'm saying? Do you understand what I'm saying? Do you understand what I'm saying?,Do you understand what I'm saying?,Do you understand what I'm saying? | Do you understand what I'm saying?,Do you understand what I'm saying?,Do you understand what I am saying? | Do you understand what I am saying?,Do you understand what I am saying? | Do you understand what I am saying?,Do you understand what I am saying?,Do you understand what I'm saying? | Do you understand what I'm saying?
142767,405518,"You can do it, can't you?","You can do it, can't you?","You can do it, right?","You can do that, can you not?","You can do it, can't you?","You can do it, can't you? | You can do it, right?","You can do that, right?",Can you do it? Can you do it? Can she do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can she do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it? Can you do it?,"you can do that, right?","You can do that, right?","You can do it, yes?","You can do it, right? | You can do it, right? | You can do it, right?","You can do that, right?","You can do that, right? | You can do that, right?"
142782,405764,He's eating an apple.,He is eating an apple.He is eating an apple.,He's eating an apple. | He's eating an apple.,He eats one apple. | He eats one apple.,He is eating a apple. | He is eating a apple.,He eats an apple.,He eats a tree apple.,He's eating an apple. | He's eating an apple.,He is eating apples. | He is eating apples.,He's an apple.,He eats apples.,One apple is being eaten.,He's eating an apple.,He eats apples.
142783,405766,She's eating an apple.,She is eating an apple.,She's eating an apple.,He eats apples.,She eats a apple.,She eats an apple.,She eats apples. | She eats apples.,She's eating an apple. She's eating an apple.,She is eating apples. | She is eating apples.,She's an apple.,She eats apples.,She is eating a apple.,He's eating an apple.,She eats apples.
142784,405767,They're eating apples.,They are eating apples.,They are eating apples. | They are eating apples.,They eat apples.,They eat apples.,They eat apples.,They eat apples. | They eat tree apples.,They're eating apples.,I'm eating apples.,They eat apples.,They eat apples.,They are eating apples.,They eat butterflies.,They eat apples.
142785,405769,We're eating apples.,We are eating apples.We are eating apples.We are eating apples.,We eat apples. | We're eating apples. | We eat apples.,We eat apples.,We are eating apples.,We eat apples.,We eat apples.,We are eating apples. | We are eating apples.,I'm eating apples.,We eat apples.,We eat apples.,We are eating apples.,We are eating apples.,We eat apples.
142860,406604,Tom is my friend.,Tom is my friend.,Tom's my friend.,Tom is my friend.,Tom is my friend.,Tom is my friend.,Tom's a friend of mine. | Tom's a friend of mine. | Tom's my friend.,Tom is my friend. | Tom is my friend. | Tom is my friend.,Tom is my friend Tom is my friend Tom is my friend Tom is my friend Tom is my friend Tom is my friend,Tom is my friend.,Tom is my friend.,Tom is my friend.,Tom is my friend. | Tom is my friend.,Tom's my friend.
142915,407574,I missed you.,I miss you.I miss you.,I missed you. | I missed you. | I missed you. | I missed you. | I missed you. | I missed you.,I missed you. | I felt sorry for you.,You missed me.,I missed you. | I missed you.,I forgot about you. | I forgot about you.,I missed you. | I missed you. | I missed you. | I missed you. | I missed you. | I missed you.,thank you very much.,I followed you.,I missed you. I missed you. I missed you. I missed you. I missed you. I missed you. I missed you. I missed you.,I took you from me. | I took you out.,I admired you.,I missed you. | I missed you.
143005,408293,What's your name?,What's your name?What's your name?What's your name?,What's your name? What's your name? What's your name?,What is your name? | What is your name? | What is your name? | What is your name? | What is your name?,How do you call yourself? | How do you call yourself? | How do you call yourself? | What is your name? | What is your name? | How are you called? | How do you call yourself? | How do you call yourself?,What is your name? | What is your name? | What is your name?,What's your name? | What's your name?,What's your name? What's your name? What's his name? What's your name? What's your name? What's your name? What's your name? What's your name? What's your name? What's her name? What's your name? What's your name?,What is your name? | What is your name? | What is your name? | What is your name? | What is your name? | What is your name? | What is your name? | What is your name? | What is your name? | What is your name?,What is your name? | What is your name?,What's your name? What's your name? What's your name?,What is your name? | What is your name? | What is your name? | What is your name?,What's your name? What's your name? What's your name?,What's your name? | What's your name? | What's your name? | What's your grandmother's name? | What's your name? | What's the grandmother's name? | What's the grandmother's name? | What's the grandmother's name? | What's your name?
143134,410244,She is beautiful.,She's very beautiful.,She's beautiful.,She is beautiful.,She is beautiful. | She is beautiful.,She is beautiful.,She's beautiful. | She's beautiful. | She's beautiful.,She's beautiful. | She's beautiful.,She is beautiful. | She is beautiful.,She is beautiful.,She is beautiful.,She is beautiful. | She is beautiful. | She is beautiful.,She is beautiful.,She's beautiful. | She's natural.
143186,410529,She likes oranges.,She likes oranges.She likes oranges.,She likes to eat oranges.,He likes apples.,She loves oranges.,She likes oranges.,She loves apples.,She likes oranges. | She likes oranges.,She likes oranges.,She likes oranges.,She loves oranges.,He likes oranges.,He loves porridge.,She loves oranges. | She loves oranges.
143204,410597,Wait a moment.,Please wait a minute.,Wait a minute. | Wait a minute. | Wait a minute.,Wait a minute. | Wait a little.,Wait a minute.,Wait a moment. | Wait a second. | Wait a second. | Wait a second. | Wait a second. | Wait a second. | Wait a second.,Wait a minute. | Wait a minute. | Wait a minute.,Wait a minute. Wait a minute. Wait a minute. Wait a minute. Wait a minute. Wait a minute.,"Wait a minute, you. | Wait a minute. | Wait a minute. | Wait a minute. | Wait a little. | Wait a little. | Wait a little. | Wait a little. | Wait a little.",Wait a moment.,Wait a second. | Wait a second. | Wait a minute.,Wait a minute. | Wait a minute. | Wait a minute. | Wait a minute. | Wait a minute. | Wait a minute.,Wait for a while.,Wait a minute. | Wait a minute. | Wait a minute.
143227,410779,Am I wrong?,Am I wrong?,Am I wrong? | Am I wrong?,Am I wrong? | Am I wrong? | Do I understand? | Am I wrong?,Am I wrong? | Am I wrong? | Am I wrong?,Am I not right? | Am I wrong? | Am I wrong? | Am I wrong?,Am I wrong? | Am I wrong?,Am I wrong? Am I wrong? Am I wrong?,I'm wrong. | Am I wrong?,Isn't that right?,Am I wrong? | Am I wrong? | Am I wrong? | Am I wrong?,Am I wrong? | Am I wrong?,Am I wrong?,Am I irrational? | Am I wrong? | Am I wrong? | Am I wrong? | Am I wrong?
143228,410780,We need your help.,We need your help.,We need your help. We need your help. We need your help.,We need your help.,We need your help. | We need your help.,We need your help. We need your help. We need your help.,We need your help.,We need your help. | We need his help. | We need your help.,we need your help.,We need your help.,We need your help | We need your help | We need your help,We need your help. We need your help. We need your help.,We need your help. | We need your help.,We need your help. | We need your help. | We need your help. | We need your help.
143316,411238,I can't remember his name.,I don't remember his name.,I can't remember his name. | I can't remember his name.,I cannot remember his name. | I cannot remember his name.,I can't remember his name. | I don't remember his name.,I don't know his name anymore. | I can't remember his name.,I can't remember his name. I can't remember his name. I can't remember his name. I can't remember his name. I can't remember his name. I can't remember his name. I can't remember his name. I can't remember his name. I can't remember his name.,I can't remember her name. I can't remember her name.,I can't remember his name.I can't remember his name.I can't remember his name.I can't remember his name.,I can't remember his name. | I don't remember his name.,I can't remember his name.,I can't remember his name. | I can't agree on his name.,I can't remember his name.,I can't guess his name. | I can't guess his name.
143324,411285,I'll pay.,I'll pay for it.,I'll pay.,I pay the bill. | I offer. | I pay.,I will pay. | I will pay.,I will pay.,I'll pay. | I'll pay.,I'll pay. | I'll pay.,It's my gift. | Let me pay it. | It's my gift. | I'll pay it. | Let me pay it.,I will pay.,I will pay.,I will pay.,I'll pay. | I'll pay the account. | I'll pay.,I'll pay.
143344,411667,You're right.,You are right.You are right.You are right.You are right.You are right.,You're right. You're right.,You are right.,You are right. | You are right.,You are right. | You are right. | You are right. | You are right. | You are right. | You are right.,You're right. | You're right.,You're right. You're right. You're right.,you're right. | you're right.,You are right.,You are right. | You are right. | You are right.,You are right.,You are right. | You are right. | You are right.,You're right. You're right. You're right. You're right. You're right. Your truth.
143440,412026,I was a student at that time.,I was a student then.,And then I was a student.,I was a student at the time.,"I was a student then. | I was a student then. | At that time, I was a student.",I was a student at that time. | I was a student at that time. | At that time I was a student.,I was a student at the time.,I was a student then. I was a student then. I was a student then. I was a student then.,I was a student at the time.,I was a student at the time.,At that time I was a student. | At that time I was a student.,I was a student then. | I was a student then.,I was a student at the time.,I was a student at the time. | I was a student at the time.
143498,413058,Are you married?,Have you grown up?,Are you married? | Are you married?,Are you a woman? | Are you a woman?,Are you married? | Are you married? | Are you married?,Are you married? | Are you married?,Are you married? Are you married? Are you married? Are you married?,Are you married? Are you married? Is she married? Are you married? Are you married? Is she married? Is she married? Are you married? Are you married? Are you married? Are you married? Are you married? Are you married? Are you married?,Are you married?,Are you married? | Are you married? | Are you married? | Are you married?,Are you married? Are you married? Are you married? Are you married? Are you married?,Are you married? | Are you married? | Are you married? | Are you married?,Marriage?,Are you married? | Are you married? | Are you married? | Are you married? | Are you married? | Are you married? | Are you married?
143529,413611,No problem!,No problem!,No problem! | No problem!,No hurry! | Unless otherwise! | Let's go! | Let's go!,No problem! | No problem! | No problem! | Nothing! | No problem!,No problem!,No problem! | That's no problem!,No problem.,no problem. | it's okay. | it's cheap for you.,No problem! | No problem! | No problem! | All right!,No problem!,No problem! | No problems!,No problem!,No problem! | No problem! | No problem! | No problem!
143534,413731,"One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, 10.","One, two, three, four, five, six, seven, eight, nine, ten. | One, two, three, four, five, six, seven, eight, one, ten. | One, two, three, four, five, six, seven, eight, nine, ten. | One, two, three, four, five, six. | One, two, three, four, five, six, seven, eight, nine, ten. | One, two, three, four, five, six. | One, two, three, four, five, six. | One, two, three, four, five, six. | One, two, three, four, five, six. | One, two, three, four, five, six. | One, two, three, four, five, six. | One, two, three, four,","One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, 10.","One, two, three, four, five, six, seven, eight, nine, 10.","One, two, three, four, five, six, seven, eight, nine, ten. | One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten. | One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten. | One, two, three, four, five, six, seven, eight, nine, ten. | One, two, three, four, five, six, seven, eight, nine, ten."
143539,413767,Come home.,Let's go home.,Come home.,Come home.,Come home.,Come home! | Come home!,Come home.,Come home. | Come home. | Come home.,Come home. | Come home. | Come home. | Come home. | Come home. | Come home.,Go home.,Return home. | Come home.,Come home.,Come home.,Go home. | Go home.
143548,413820,"Good evening, how are you?",Good evening. How are you?,"Good night, how are you doing? | Good night, how are you doing?","Good evening, what is there to say?","Hello, how are you? | Hello, how are you? | Hello, how are you? | Hello, how are you?","Good evening, how are you?","Good evening, how are you?","Good morning, how are you?",you don't like it?,"Good evening, what to hear from you? | Good evening, what to hear from you?","Good evening, how are your affairs?","Good evening, how are you? | Good evening, how are you? | Good night, how are you?",Good evening. How are you? | Good evening.,"Good evening, how are you? | Good evening, how are you? | Good evening, how are you?"
143549,413821,What's this?,What is this? What is this? What is this? What is this thing? What is this?,What is this?,What is this? | What is this?,"What is it? | What is it? | What is it, that?",What is this? | What is this here? | What is this thing?,What is that?,What is this? What is this? What is this? What is this? What is this? What is this?,| What is this? | What is this? | What is this? | What is this? | What is this? | What is this for? | What is this for? | What is this for? | What is this for? | What is this for? | What is this for? | What is this for?,What is this?,What is it?,What is this? | What is this?,What is that?,What is this? What is this? What is this?
143557,413831,I live near here.,I live around here.,I live in the neighborhood here.,I live close to here.,I live nearby. | I live nearby.,I live nearby. | I live here nearby.,I live close to here.,I live next door. | I live next door. | I live next door. | I live next door.,I live in this neighborhood. | I live in this neighborhood.,I live nearby.,I live nearby.,I live close to here.,I live close to it.,I live near here. | I live near here. | I live near here.
143781,416367,Where are you going?,Where are you going? Where are you going? Where are you going? Where are you going? Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going?,Where are you going? Where are you going? Where are you going? Where are you going? Where are you going? Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you headed? | Where are you going?,Where are you going? | Where are you going? | Where is it going? | Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going?,Where are you going? | Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going?,Where do you go? | Where do you go? | Where do you go? | Where do you go? | Where do you go? | Where do you go? | Where do you go?,Where are you going? | Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going?
143902,417801,My eyes hurt.,My eyes hurt.My eyes hurt.My eyes hurt.,I have pain in my eyes.,I happen to see. | I happen to see.,My eyes hurt me. | I have trouble with my eyes.,My eyes hurt. | My eyes hurt. | My eyes hurt.,""""" I'm having trouble with my eyes. """" """" I'm having trouble with my eyes. """" ""I'm having trouble with my eyes.""",My eyes hurt.,My eyes hurt. | My eyes hurt.,My eyes hurt. | My eyes hurt.,My eyes hurt. | My eyes hurt.,My eyes are aching. | My eyes are aching!,My eyes hurt.,My eyes are aching.
143905,417891,I have a sore throat.,My throat hurts.,I've got a sore throat. | I've got a sore throat.,I have a sore throat. | My throat is sore.,I have a sore throat.,I have sore throat. | I have sore throat. | I have a sore throat.,My throat hurts.,I'm sore throat. | I'm sore throat. | I'm sore throat.,my throat hurts. | my throat hurts. | my tongue hurts.,My throat hurts. | My throat hurts.,My throat hurts. | My throat hurts. | My throat hurts.,My throat is sore. | I have inflammation of my throat. | I have sore throat.,My Bosphorus hurts.,I'm having a sore throat. | I'm having a sore throat.
143935,418475,You idiot!,Stupid!,You're an idiot! You're an idiot! You're an idiot! You're an asshole! You're an asshole! You're an asshole!,You idiot!,Idiot species! Idiot species!,You idiot!,You're an idiot! You're an idiot!,Idiot!,I'll do this! | Let's do this.,You fools!,You idiot! | Idiot!,Idiot! | Useless! | Idiot's footprint!,You're stupid! | You're stupid!,Video: Yay! Video: Yay!
144218,424848,I know her.,I know her.,I know her.,I know him.,I know her.,I know them.,I know her.,I know her. | I know her.,i know her.,I know her.,I know her. | I know her. | I know her. | I know her.,I know her.,I know him. | I know him.,I know her.
144290,425148,We often play chess.,We often play chess.,We often play chess.,We often play chess.,We often play at failures.,We often play chess.,We often play chess.,We play chess a lot. | We play chess a lot.,We often chess.,We often play chess.,We often play chess.,We often play chess.,We often play chess.,We often play chess.
144443,426950,Good night!,Good night!,Good night. | Good night! | Good night!,Good night!,Good night!,Good night! | Good night.,Good night. | Have a nice night. | Good night!,Good night!,good night. | good night.,Good night! | Good night. | Good night.,Good night! Good night! Good night! Good night!,Good night!,Good night!,Goodnight. | Goodnight. | Goodnight! | Goodnight!
144560,428402,What time is it?,What time is it now What time is it now What time is it now What time is it now What time is it now,What time is it?,What time is it?,What time is it? | What time is it now? | What time is it now? | What time is it there? | What time is it now? | Do you have the time? | What time is it there? | What time is it there? | What time are you?,What time is it? | What time is it? | What time is it? | What time is it now? | What time is it right now? | What time is it now?,What time is it? | What time is it now?,What time is it now? What time is it now? What time is it now? What time is it now? What time is it now? How late is it?,What time is it now?What time is it now?What time is it now?What time is it?,What time is it? | What time is it?,What time is it? | What time is it? | What time is it right now? | What time is it right now?,What time is it? | Can you tell me the time? | Do you care to tell me the time? | Do you have a time? | What time do you have? | What time is it now? | What time do you have?,How many hours?,What time is it now?
144791,430925,She is dead.,She's dead.,She's dead. | She's dead. | She's dead.,He has died.,She died.,She is dead.,She died.,She's dead. | She's dead.,she's dead.,She is not alive.,She is dead. | She is dead.,She is dead. | She is dead.,He died.,She's dead.
144819,431539,I'm bored.,I don't think I'm talking.,I'm bored. | I'm bored.,I am bored.,I am bored.,I'm bored. | I'm bored. | I'm bored myself. | I'm bored.,I'm bored.,I'm bored. | I'm bored. | I'm bored. | I'm bored. | I'm bored. | I'm bored.,i'm bored. it's boring. it's boring.,I'm bored. | I'm bored.,I'm bored.,I'm bored. | I'm a grandfather.,I'm tired. | My life is getting tired.,I'm bored. I'm bored. I'm bored.
144848,432340,I was a teacher.,I've been a teacher.,I was a teacher. | I was a teacher.,I was a teacher.,I was a professor. | I was a professor.,I was a teacher. I was a teacher. I was a teacher.,I was a teacher. | I was a teacher.,I was a teacher.,I was a teacher.,I was a teacher. | I was a teacher.,I was a teacher. I was a teacher. I was a teacher.,I was a professor. | I was a professor.,I was a teacher. I was a teacher. I was a teacher.,I was a teacher. | I was a teacher.
144962,433423,What did you say?,What did you say?What did you say?,What did you say? | What do you say? | What did you say?,What did you say? What did you say? What did you say? What did you say?,What did you say? | What did you say? | Do you like it? | What did you say? | What did you say?,What did you say? What did you say? What did you say? What did you say?,What did you say? | What did you say?,What did you say? What did you say? What did you say? What did you say? What did you say? What did you say? What did you say? What did you say?,What did you say? What did you say? What did you say? What did you say?,What did you say? | What did you say?,What did you say? What did you say? What did you say? What did you say? What did you say?,What did you say? | What did you say? | What did you say? | What did you say? | What did you say?,What did you say? | What did you say?,What did you say? | What did you say? | What did you say? | What did you say?
144965,433457,God exists.,God exists.,God exists. | God is.,God exists.,God exists.,God exists.,God exists.,God exists.,God exists.,God exists.,God exists. | God exists.,God exists.,There is God. | There is God.,God exists. | God exists.
144967,433468,I understand.,I got it. I got it. I got it.,I get it. | Okay. | I get it. | I get it! | I get it. | I get it. | I get it! | Sorry.,I understand.,I understand.,I understand.,I get it. | I get it.,I understand. | I understand. | I understand. | I understand.,I understand. | I understand. | I understand. | Thank you. | I understand. | Okay. | I understand! | I understand! | I understand. | I understand. | I understand. | I understand. | I understand. | I understand.,I understand.,I understand. | I understand. | I understand.,I understand. | I understand.,I understand.,I get it. | I get it.
144968,433472,I got it.,I understand.I understand.,I got it.,I understand.,I got it. | I got it.,I understood it. | I got it. | I got it.,I got it. | I got it.,I got it. I got it. I got it. I got it. I got it.,i understand. | i understand.,I've lost!,I understand. | I understand.,I have it.,I understand.,I got it. | I got it. | I got it. | I got it.
144975,433491,Go away.,Get out! - Get out!,Go away! | Get up! | Get up! | Get out! | Under my eyes! | Make you go away. | Go away here. | Make you go away! | Make you go away. | Run away! | Make you go away. | Beasts. | Go away. | Make you go away! | Get out of here! | Go away! | Darker up. | Red up. | Beasts! | Get up! | Get up! | Get up!,Alas! | It's already painful! | It's painful! | It's coming!,| Get out of the camp! | Get out of the camp! | Get out of the camp! | Get out of here. | Get out! | Get out of the camp! | Get out of the camp. | Get out of the camp! | Get out of the camp! | Get out of the camp! | Get out of the camp! | Get out of the camp! | Get out of the camp! | Get out of the camp. | Get out of the camp.,Go away! | Spoil yourself! | Get off! | Go away! | Suffocated! | Go away! | Take a line! | Get out of the field! | Get away! | Smash yourself! | Troll you! | Dish off! | Pack you up! | Make a plane! | Swallow off! | Make the sauce! | Shut off! | Shut off! | Go away!,Go away. | Go away. | Go away! | Go away!,Go away. | Go away. | Go away. | Go away. | Go away. | Go away.,go away! | go somewhere. | go over there! | get lost.,Go away. | Go away.,Get out! | Get out. | Get out of here. | Get out. | Get out. | Get out.,See from here! | Load! | Load! | See already! | Oral! | Andate! | Larguese. | Have fun.,Go away.,Go away. | Released.
144976,433492,Of course.,Of course. Of course. Of course it is. Of course it is.,Of course. | Yeah. | Of course! | But of course! | Of course know! | Of course! | Of course. | Of course. | Speaks for itself. | Of course. | Of course!,Of course! | Of course.,Of course. | Of course.,Of course.,Of course.,Certainly.,Of course. | Of course. | Of course! | Of course! | Of course!,Of course.,Of course. | Of course.,Of course.,Of course. | Of course. | Of course!,Of course. | Of course.
144982,433502,Don't move.,Do not move.Do not move.Do not move.,Do not move. | Do not move!,Don't move! | Don't move! | Don't move! | Stay!,Do not move. | Do not move.,Do not move. | Do not move! | Do not move.,Don't move! | Don't move! | Don't move!,Don't move. | Don't move. | Don't move. | Don't move. | Don't move.,don't move! don't move. don't move.,Don't move.,Don't move. | Don't move. | Don't bend. | Don't bend.,Don't move. | Don't move. | Don't move.,I'm cold.,Don't move. | Don't move.
144984,433504,Excuse me.,I'm sorry I'm sorry.,I'm sorry.,Excuse me for interrupting. | Excuse me for interrupting. | Excuse me.,Excuse me. | Excuse me. | I'm sorry.,I'm sorry. | Sorry! | Sorry. | Sorry! | Forgiveness.,Excuse me. | Excuse me. | Excuse me. | Excuse me. | Forgive me. | All right.,Excuse me. | Excuse me. | Excuse me.,sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry,I'm sorry.,I'm sorry. | Sorry.,With permission. | Sorry. | Excuse me. | I apologize. | Sorry. | Excuse me.,You are a traitor. | Don't look at the picture.,Excuse me. | Excuse me.
144986,433510,Wonderful!,That's great!,Wonderful! | Wonderful. | It's wonderful. | It's wonderful. | It's very beautiful. | It's wonderful. | It's wonderful. | Well done! | What a wonderful! | Well done! | What a wonderful! | Excellent! | Excellent! | Very good! | Well done! | Wonderful. | Brilliant! | Wonderful! | Wonderful!,Peace! | Fine! | Possible! | Pleasant!,Wonderful! | Magnificent! | At the right time! | Genial! | Super! | Excellent! | Formidable! | Very good! | What a wonderful! | Sensass! | It's wonderful. | It's wonderful!,Wonderful! | Wonderful!,Great! | Wow!,Great! | Wonderful!,it's amazing! it's amazing!,Wonderful! | Wonderful | Wonderful | Great!,Amazing! | Remarkable! | Remarkable.,That is fantastic!,Wonderful!,That's great.
144987,433511,Fantastic!,Great! Great!,Fantastic! | Brilliant! | Wonderful! | Wonderful! | That's great! | Wonderful. | That's great! | That's great! | Wonderful!,Fantastic! | Wonderful!,Fantastic! | Sensass! | Fantastic!,Fantastic! | Really great!,Wonderful!,Fantastic!,it's amazing! | wonderful! | great!,Fantastic!,Fantastic!,Fantastic! | Oh! | It's great!,Wonderful!,Great! | Fantastic! | Cool! | Cool! | Super!
144993,433518,Go away!,Go away! | Rolling!,Get out of here! | Get out of here! | Get up!,Woe! | Go away! | It's already breaking! | It's breaking! | It's breaking! | Get out of here! | Get out of here! | Get out of here!,Get out! | Run! | Get out! | Bouge! | Get out! | Get out! | Get out! | Get out! | Go! | Go!,Go away! | Take off! | Go away! | Suffocated! | Go away! | Pull the ropes! | Get out of the field! | Pull the ropes! | Pull the ropes! | Pull the ropes! | Pull the ropes! | Pull the ropes! | Pull the ropes! | Pull the ropes! | Pull the ropes! | Pull the ropes! | Pull the ropes!,Go away! | Go away! | Go away! | Go away! | Forget it! | Forget it!,Go away! | Go away! | Go away! | Go away! | Go away! | Go away!,go over there! go over there! go away!,Get out of here. | Get out of here!,Get out! | Get out! | Get out! | Get out! | Get out!,See from here! | Run! | Get out of here! | Run! | See already! | Run! | On the street! | Run! | Run!,Go away. | Go away!,Get out of here! | Get out! | Get out!
145014,433594,Try it again.,try again try again try again.,Try it again.,Try again. | Try again. | Try again. | Try again.,Try again. | Try again. | Try again. | Try again. | Try again. | Try again. | Try again.,Try it again. | Try it again! | Try it again. | Try it again.,Give it another try. Give it another try. Give it another try. Give it another try. Give it another try. Give it another try. Give it another try. Give it another try. Give it another try.,Try again. | Try again. | Try again. | Try again. | Try again. | Try again.,do it again.,Try again.,Try again. | Try again.,Do it again!,Try again.,Try again. | Try again. | Try again.
145027,433613,I have no money.,I don't have any money.I don't have any money.,I don't have any money.,I do not have the money.,I have no money.,I have no money.,I don't have any money.,I don't have money. | I don't have money. | I don't have money. | I don't have money.,I don't have any money. | I have no money. | I don't have any money. | I don't have any money.,I have no money.,I have no money.,I have no money. | I have no hard. | I have no silver. | I have no cent. | I have no pot. | I have no hard. | I have no mango. | I have no money. | I am broken.,I have no money.,I don't have money. | I don't have money. | I don't have money.
145028,433614,I don't have any money.,I don't have any money.I don't have any money.,I don't have any money.,I do not have money. | I do not have any money. | I have a trip in my flower. | I do not have a penny note. | I do not have Latin Latin. | I am completely in cash.,I don't have any money. | I don't have a thune. | I don't have any bones. | I don't have a kopeck. | I don't have a fifrelin. | I don't have a floating sou. | I don't have any wheat. | I don't have any money.,I don't have money. | I don't have a penny. | I don't have a tired mark. | I don't have a red lighter.,I don't have any money at all. | I don't have any money. | I don't have a pencil. | I don't have a pencil.,I don't have money. | I'm in the green. | I don't have money. | I don't have money. | I don't have money.,| I have no money at all | I have no money at all | I have no money at all | I have no money at all | I have no money at all | My wallet is dirty | I have no money at all | I have no money at all | I have no money at all | I have no money at all | I have no money at all | I have no money at all | I have no money at all | I have no money at all,I have no money at all. | I have no money. | I have no money.,I don't have any money.,I have no weight. | I have no hard. | I have no money. | I have no silver. | I have no cent. | I have no pot. | I have no mango. | I am broken.,I have no money.,I don't have any money. | I don't have any money. | I don't have any money. | I don't have any money. | I don't have any money.
145061,433669,Do you have a fever?,Are you burned?,Do you have a fever? | Do you have an increase? | Do you have a fever?,Are you hot?,Do you have fever? | Do you have fever?,Do you have fever? | Do you have fever?,Do you have a fever?,Do you have fever? | Do you have fever?,Is it hot? | Is it hot? | Are you hot? | Are you hot?,Do you have a fever?,Do you have a temperature? | Do you have a temperature? | Do you have a temperature? | Do you have a heat? | Do you have a temperature?,Do you have fever?,Do you have a gun? | Do you have a gun?,Do you have a temperature? | Do you have a temperature?
