,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
148248,462476,Stay there.,Stay there.,"Stay there, stay there, stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there. Stay there.",Stay there.,Stay there.
148271,462526,That hurts.,It hurts.,It hurts.,It hurts.,It hurts.
148296,462578,"The bill, please.","I'll ask for the check, please.","The bill, please. The bill, please.",Please check it out. Please check it out.,"I'll have the check, please."
148342,462670,The customer is always right.,The customer is always right.,The client is always right.,The customers are always right.,The client's always right.
148756,464282,Turn around.,Turn around.,Turn around. Turn around.,Turn around.,Turn around.
148760,464290,Turn right.,"Turn right, turn right.","Turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right, turn right.",Turn right.,Turn right.
148778,464330,Wash your hands.,"Wash your hands, wash your hands.",Wash your hands. Wash your hands. Wash your hands.,Wash your hands.,Wash your hands.
148881,464546,What do you need?,What do you need?,What do you need? • What do you need? • What do you need? • What do you need? • What do you need? • What do you need?,What do you need?,What do you need?
148890,464566,What does this mean?,What does that mean?,What does this mean? □ What does this mean? □ What does this mean? □ What does this mean? □ What does this mean? □ What does this mean? □ What does this mean? □ What does this mean?,What does this mean? What does that mean?,What does that mean?
149029,466624,What's your phone number?,What's your phone number?,What phone number do you have? • What phone number do you have? • What phone number does it have?,What's your phone number?,What's your phone number?
149039,466728,Please wait five minutes.,Please wait five minutes.,Please wait 5 minutes. Please wait 5 minutes. Please wait 5 minutes. Please wait 5 minutes. Please wait 5 minutes. Please wait 5 minutes. Please wait 5 minutes. Please wait 5 minutes. Please wait 5 minutes.,Please wait five minutes.,Wait five minutes.
149057,467339,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal. The iron is a useful metal. The iron is a useful metal element.,Iron is a useful metal.
149075,467672,Where is your father?,Where's your father? Where's your father? Where's your father?,Where's your dad? Where's your dad? Where's your dad? Where's your dad? Where's your dad? Where's his dad?,Where's your father? Where's your father?,Where's your father?
149123,469126,She's my sister.,She's my sister.,She's my sister. She's my sister.,She's my sister.,She's my sister.
149256,472091,I study Korean.,I'm studying Korean.,I study Korean. I study Korean. I study Korean.,I study Korean. I study Korean. I study Korean.,I'm learning Korean.
149275,472431,I was wrong.,I was wrong. I was wrong. I was wrong.,I was wrong. I was wrong. I was wrong. I was wrong.,I was wrong.,I was wrong.
149288,473177,"Hi, how are you?","Hello, how are you?","Hi, how are you?","Hello, how are you?",How are you?
149538,477061,No.,"No, no, no!",No.,No.,No.
149541,477086,Yes.,Yeah.,Yes.,"- Yes, yes, yes, yes, yes, yes. - Yes, yes, yes, yes.","Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah."
149667,478255,He closed the door.,He closed the door.,He closed the door. He closed the door.,He closed the door.,He locked the door.
149694,478568,I have no friends.,I don't have any friends.,I don't have any friends. I don't have any friends. I don't have any friends. I don't have any friends. I don't have any friends. I don't have any friends. I don't have any friends. I don't have any friends.,I don't have any friends.,I don't have any friends.
149808,481593,Are they friends?,Are they friends?,Are they friends? Are they friends? Are they friends? Are they friends? Are they friends?,Are they friends?,Are they friends?
149868,482303,Where is my book?,Where's my book?,Where's my book?,Where is my book?,Where's my book?
149949,483350,Guns don't kill people. People kill people.,"Weapons don't kill people, people kill people.","Guns don't kill people, people kill people.",Guns don't kill people. People kill people.,It's not the guns that kill people.
150041,484648,Drive safely.,Drive safe.,Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution.,Drive with care. &lt;i&gt; Drive safely. &lt;i&gt; Drive safely. &lt;i&gt; Drive safely. &lt;i&gt; Drive safely.,Drive carefully.
150094,485099,Thanks anyway.,Thanks anyway. Thanks anyway.,Thanks anyway.,Thank you anyway.,Thanks anyway.
150159,486448,I must go now.,I have to go now.,I have to go now. I have to go now. I have to go now. I have to go now. I have to go now.,I have to go now. I have to go now. I have to go now.,Now I have to go.
150190,487006,Cheers!,Cheers!,Cheers to yours! Cheers to yours!,Cheers! Let's celebrate your health!,"Cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers, cheers!"
150242,487828,Swimming is easy.,Swimming is easy.,Swimming is easy.,It's easy to swim. It's easy to swim.,Swimming is easy.
150457,493028,Do you know the answer?,Do you know the answer?,Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer? • Do you know the answer?,You know the answer?,Do you know the answer? Do you know the answer?
150558,495717,I'm a journalist.,I'm a journalist.,"I'm a journalist, I'm a journalist, I'm a journalist, I'm a journalist.",I'm a reporter.,I'm a journalist.
150562,495838,Please close the door.,Please close the door.,"Close the door, please. Close the door, please. Close the door, please. Close the door, please. Close the door, please. Close the door, please. Close the door, please. Close the door, please.","Close the door, please. Please close the door.",Please close the door. Please close the door.
150727,497969,See you tomorrow.,See you tomorrow. See you tomorrow.,See you tomorrow.,I'll see you tomorrow.,See you tomorrow.
150811,499689,Good afternoon.,Good afternoon.,Good afternoon.,Hi. Hi.,Good day.
150828,499998,I'm just looking.,I'm just looking.,I'm just looking. I'm just looking.,I'm just looking. I'm just looking. I'm just looking at it. I'm just looking at it. I'm just looking at it.,I'm just watching.
151264,506446,Don't worry.,"Don't worry, don't worry, don't worry.","Don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry.",Don't worry. don't worry. don't worry. don't worry. don't worry. don't worry. don't worry. don't worry. don't worry. don't worry. don't worry. don't worry. don't worry.,Don't worry.
151303,506948,Do you smoke?,"Do you smoke, do you smoke, do you smoke, do you smoke?",Do you smoke? Do you smoke? Do you smoke? Do you smoke? Do you smoke?,Do you smoke?,Do you smoke?
151505,508844,The dog is dead.,The dog is dead.,The dog's dead.,The dog is dead.,The dog is dead.
151757,513527,Tom was fired.,Tom got fired.,Tom was fired. Tom was fired.,Tom got fired.,Tom was fired.
151760,513534,He raised his hands.,He raised his hands.,He raised his hands. He raised his hands. He raised his hands. He raised his hands.,He raised his hands.,He raised his hands.
151849,515472,That's life.,"That's life, that's life, that's life.",That's life. It's life.,That's how life works.,That's life.
151862,515572,Are you Japanese?,Are you Japanese? Are you Japanese?,Are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese?,Are you Japanese?,Are you Japanese?
151926,516321,Today is Monday.,It's Monday.,Today is Monday.,"Today is Monday. - Today is Monday. - Today is Monday, isn't it?",Today's Monday. Today's Monday.
151946,516601,He is poor.,He's poor.,He's poor. He's poor.,He's poor.,He's poor.
151972,516745,Goodbye!,Hello. Hello and goodbye.,Bye-bye. Bye-bye.,"Bye, bye, bye, bye, bye!",Goodbye!
152040,518553,You may go.,You're free to go.,You're free to go.,You can go. You can go.,You can go.
152216,521667,It's a good question.,That's a good question.,That's a good question.,That's a good question.,That's a good question.
152365,525267,"Tatoeba means ""for example"" in Japanese.","Tatooba in Japanese means ""for example.""","Tatoeba in Japanese means ""for example."" Tatoeba means ""for example"" in Japanese.","Tatoeba means ""for instance"" in Japanese. ""Tatoeba"" means ""for example"" in Japanese.","Tatoeba means ""for example"" in Japanese."
152581,528455,She woke up.,She's awake.,She woke up. She woke up.,She woke up.,She's awake.
152677,529830,Don't tell anyone this.,Don't tell anyone about this.,Don't tell anyone that. Don't tell anyone that. Don't tell anyone that.,Don't tell anyone about this.,Don't tell anyone about this.
152752,530595,He ordered a beer.,He ordered a beer.,He ordered a beer. He ordered a beer. He ordered a beer. He ordered a beer.,He ordered a beer.,He ordered a beer.
152938,533100,Where is the most beautiful place in the world?,Where's the most beautiful place in the world?,Where is the most beautiful place in the world?,Where is the most beautiful place in the world?,Where is the most beautiful place in the world?
153004,533746,How's your mother?,How's your mother?,How's your mom? How's your mom? How's her mom?,What's up with your mother?,How's your mother?
153176,535419,Do you have a cellphone?,Do you have a cell phone?,Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone?,Do you have a cell phone? &lt;i&gt;Do you have a cell phone? &lt;i&gt;Do you have a phone?&lt;/i&gt;,Do you have a cell phone?
153309,538123,Hi.,Hello. Hey. Howdy.,Hi. Hi.,"Hello, hello, hello, hello. Hello, hello.",Hi.
153344,539017,He likes fishing.,He likes to fish.,He likes to fish. He likes to fish.,He likes fishing.,He likes to fish.
153938,551318,Why did you lie?,Why did you lie?,Why did you lie? Why did you lie? Why did you lie?,Why did you lie? Why did you lie?,Why did you lie?
153943,551443,No problem.,No problem.,It's okay. It's okay.,It's okay.,It's okay. It's okay. It's okay.
154720,566026,Time is money.,Time is money.,Time is money.,Time is money.,Time is money.
154778,567368,I'm a student.,I'm a student.,I'm a student. I'm a student. I'm a student. I'm a student.,I'm a student. I'm a college student.,I'm a student.
155238,576084,I hate Mondays.,I hate Mondays. I hate Mondays. I hate Mondays.,I hate Mondays. I hate Mondays.,I don't like Mondays. I really don't like Mondays.,I hate Mondays.
155418,580774,I'm a man.,I'm a man.,I'm a man. I'm a man.,I'm a man.,I'm a man.
155444,582309,I need help.,I need help. I need help. I need help.,I need help.,Please help me. &lt;i&gt;I need help.,I need help.
156353,607840,Go to hell!,Go to hell! Go to hell! Go to hell!,Go to hell!,Die!,Go to hell!
156468,611372,We want complete sentences.,We want complete sentences.,We want complete sentences. We want complete sentences. We want complete sentences. We want complete sentences. We want complete sentences.,We're asking for a complete sentence.,We want full sentences.
156481,611769,You don't need to call me.,You don't have to call me.,You don't have to call me. You don't have to call me. You don't have to call me. You don't have to call me. You don't have to call me.,You don't have to call me.,You don't have to call me.
156708,619636,Do you come here often?,You come here often? You come here often? You come here often?,Do you come here often? • Do you come here often? • Do you come here often? • Do you come here often? • Do you come here often? • Do you come here often? • Do you come here often? • Do you come here often?,Do you come here often?,Do you come here often?
157323,628213,Correct!,Right!,That's right!,"That's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right!",Good!
157327,628230,We agree.,Agreed. We agree.,We agree. We agree.,We agree.,We agree.
157419,630620,This novel is boring.,This affair is boring.,This novel is boring.,This novel is boring. The novel is boring.,This novel is boring.
157445,631038,Jump.,Jump.,Jump. Jump. Jump. Jump.,Let's go! Let's go! Let's go! Let's go!,Jump.
157606,634028,Do you speak Turkish?,Do you speak Turkish? Do you speak Turkish? Do you speak Turkish?,Do you speak Turkish? Do you speak Turkish? Do you speak Turkish? Do you speak Turkish? Do you speak Turkish?,Do you speak Turkish?,Can you speak Turkish?
157795,638544,Where is the train station?,Where's the train station?,Where's the train station? where's the train station? where's the train station? where's the train station?,Where is the station? - Where is the station?,Where's the train station?
158135,647456,Bye!,Bye. Bye!,Bye-bye. Bye-bye.,"Good-bye, bye-bye, bye-bye, bye-bye, bye-bye, bye-bye.",Bye-bye!
158594,661572,Today is Saturday.,It's Saturday. lt's Saturday.,Today's Saturday.,Today is Saturday.,Today's Saturday.
159294,672229,He ran.,He ran.,Racing.,He ran.,He ran.
159301,672252,You run.,"You're running, you're running.",Run. Run. Run. Run.,You're running. You're running.,Activate.
159302,672254,He runs.,He's running.,He's running.,He runs.,He's running.
159304,672264,She runs.,She's running.,He's running. She's running.,She's running.,He's running.
163060,693617,Idiot!,"Stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid, stupid,",Idiot!,You idiot!,You idiot!
163441,699465,I'm 18 years old.,I'm 18 years old.,I'm 18 years old. I'm 18 years old. I'm 18 years old.,I'm 18 years old. I'm 18 years old. I'm 18 years old.,I'm 18.
163557,702472,Colorless green ideas sleep furiously.,Green ideas without old paint in rage.,Green colorless ideas sleep furiously.,The colorless green concept sleeps hard.,Colorless green ideas furiously sleep.
163670,703304,We're neighbors.,We're neighbors.,We're close.,We're neighbors.,We're neighbors.
163907,706874,Happy Mother's Day!,Happy Mother's Day!,Happy Mom's Day!,"Mom, thank you all the time!",Happy Mother's Day!
164129,707526,Count to thirty.,"Count to 30, count to 30.","Count to thirty, count to thirty, count to thirty, count to thirty.",Count to 30.,Count to thirty.
165980,740214,I am a woman.,I'm a woman.,I'm a woman. I'm a woman.,I'm a woman. I'm a woman.,I'm a woman.
167003,757414,I'm listening to music.,I listen to music.,I'm listening to music. I'm listening to music. I'm listening to music. I'm listening to music.,I'm listening to music. I'm listening to music.,I'm listening to music.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.","You can write in any language you want, in Tatua, all languages equal, you can write in any language you want, in Tatua, in all languages the same value.","You can write in any language you want. On Tatoeba, all languages are the same. You can write in any language you want. On Tatoeba, all languages are the same. You can write in any language you want. On Tatoeba, all languages are the same.","I can write in any language. In Tatoeba, language is equal.",You can write in any language. In Tatoeba all languages are equal. You can write in any language. In Tatoeba all languages are equal.
168951,794758,I am not a witch.,I'm not a witch.,I'm not a witch. I'm not a witch.,I'm not a witch.,I'm not a witch.
171915,811376,He lives alone.,He lives alone.,He lives alone. He lives alone. He lives alone. He lives alone. He lives alone.,He lives alone.,He lives alone.
172646,827295,I hate you.,I hate you.,I hate you. I hate you.,I hate you.,I hate you. I don't give a shit about you.
173753,847863,I'm always hungry.,I'm always hungry.,I'm always hungry. I'm always hungry.,I'm always hungry. I'm always hungry.,I'm always hungry.
174179,854500,Get lost.,Get lost! Get lost!,Get the hell out of here. Get the hell out of here. Get the hell out of here. Get the hell out of here. Get the hell out of here.,Get out! Get out!,Get lost.
175014,870628,Please continue.,Please continue. Please continue.,Please continue. Please continue. Please continue. Please continue. Please continue. Please continue. Please continue. Please continue. Please continue. Please continue.,Keep talking.,"Go on, please."
176212,881861,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat. I don't have a cat.,I don't have a cat.
176341,883062,Choose one.,"Pick one, pick one, pick one.",Choose one. Choose one. Choose one. Choose one. Choose one. Choose one. Choose one.,Choose one.,Choose one. Please select one.
177553,890415,Come!,Come on!,"Come on, come on, come on!",Come on!,Come on!
177627,891930,I want to die with Getter Jaani.,I want to die with Getter Janni.,I want to die with Getter Jaani. I want to die with Getter Jaani. I want to die with Getter Jaani. I want to die with Getter Jaani.,I want to die with Goeter Yaani.,I want to die with Getter Jaani.
178536,906328,Run!,Run! Run! Run!,Run! Run!,"Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go!","Run, run, run, run!"
179456,914029,What do you think?,What do you think?,What do you think about it? ♪ What do you think about it? ♪ What do you think about it?,What do you think? &lt;i&gt;What do you think?&lt;/i&gt; What do you think?&lt;/i&gt; &lt;i&gt;What do you think? &lt;i&gt;What do you think? &lt;i&gt;What do you think? &lt;i&gt;What do you think?,What do you think?
180182,925077,It is too expensive.,It's too expensive.,It's too expensive. It's too expensive. It's too expensive. It's too expensive. It's too expensive. It's too expensive.,It's too expensive! It's too expensive!,It's too expensive.
181016,943665,Hooray!,Hooray!,Hooray!,Heil!,Hooray!
181351,953107,Are you on Facebook?,Are you on Facebook?,Are you on Facebook? • Are you on Facebook? • Is it on Facebook? • Are you on Facebook? • Are you on Facebook? • Are you on Facebook?,Do you have a Facebook? &lt;i&gt;Do you do Facebook?&lt;/i&gt; &lt;i&gt; Do you do Facebook?&lt;/i&gt; &lt;i&gt; &lt;i&gt;Do you do Facebook?&lt;/i&gt; &lt;i&gt;Do you do Facebook? &lt;i&gt; &lt;i&gt;I do Facebook?&lt;/i&gt; &lt;i&gt;I do Facebook? &lt;i&gt; &lt;i&gt;I do Facebook? &lt;i&gt;I do Facebook? &lt;i&gt; &lt;i&gt;,Do you have a Facebook account? Are you on Facebook? Are you on Facebook?
181446,953202,Do you like cooking?,Do you like to cook?,"Do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook, or do you like to cook?",Do you like cooking?,Do you like to cook?
181468,953224,Do you think I'm stupid?,You think I'm stupid?,Do you think I'm stupid? Do you think I'm stupid? Do you think I'm stupid? Do you think I'm stupid? Do you think I'm stupid... Do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid... do you think I'm stupid...,You think I'm stupid?,You think I'm stupid?
181530,953286,Have you eaten?,Have you eaten yet?,Have you eaten? Have you eaten? have you eaten? have you eaten? have you eaten? have you eaten? have you eaten? have you eaten? have you eaten?,Did you eat?,Have you eaten yet?
181540,953296,Have you ever dyed your hair?,Have you ever dyed your hair?,Have you ever dyed your hair? have you ever dyed your hair? have you ever dyed your hair? have you ever dyed your hair? have you ever dyed your hair? have you ever dyed your hair?,Have you ever dyeed your hair?,Have you ever dyed your hair?
181601,953358,How was your summer?,How was your summer?,How was your summer? ♪ How was her summer? ♪ How was your summer?,How was summer? How was summer?,How was your summer? How was your summer? How was your summer?
181609,953366,I ate too much.,I ate too much.,I ate too much. I ate too much. I ate too much. I ate too much.,I ate too much.,I ate too much.
184000,982239,Do you like strawberries?,Do you like strawberry?,Do you like strawberries? • Do you like strawberries? • Do you like strawberries? • Do you like strawberries? • Do you like strawberries? • Do you like strawberries? • Do you like strawberries?,Do you like candy?,Do you like strawberries?
184037,983650,This is a horse.,It's a horse.,This is a horse. This is a mare.,This is a horse.,It's a horse.
184118,987485,"Champagne, please.","Champagne, please.","Champagne, please.",I'd like some champagne. - Give me some champagne.,"Champagne, please."
184160,990384,Grammar is very complicated.,Grammar is very complicated.,The grammar is very complicated.,The grammar is very complicated. The grammar is very complicated.,Grammar is very complicated.
184235,993268,He died recently.,He passed away recently.,He died recently. He died recently.,He died recently.,He died recently.
184422,997880,I don't drink coffee.,I don't drink coffee.,I don't drink coffee. I don't drink coffee.,I don't drink coffee. I don't drink coffee.,I don't drink coffee.
186312,1024693,Tom isn't here.,Tom's not here.,Tom isn't here.,Tom isn't here.,Tom's not here.
187666,1026051,Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.
188288,1026675,Tom closed his eyes.,Tom closed his eyes.,Tom closed his eyes. Tom closed his eyes.,Tom closed his eyes. Tom closed his eyes.,Tom closed his eyes.
188621,1027009,Tom blushed.,Tom's blushing.,Tom is blushed. Tom blushed.,Tom turned red.,Tom blushed.
190239,1028631,Tom hugged Mary.,Tom hugged Mary.,Tom hugged Mary. Tom hugged Mary.,Tom hugged Mary.,Tom hugged Mary.
193352,1064331,It wasn't my fault.,It wasn't my fault. lt wasn't my fault. lt wasn't my fault.,It wasn't my fault. It wasn't my fault.,It wasn't my fault.,It wasn't my fault.
193634,1071653,Eat your soup before it gets cold.,Eat your soup before it gets cold.,"Eat your soup before it gets cold. "" Eat your soup before it gets cold. "" Eat your soup before it gets cold. "" Eat your soup before it gets cold.",Drink the soup before it gets cold.,Eat your soup before it gets cold.
193744,1075501,May I put it here?,Can I put it here? Can I put it here? Can I put it here?,Can I put it here? Can I put it here? Can I put it here? Can I put it here?,Can I leave it here?,Can I put this here?
193745,1075502,We should always obey laws.,We must always obey the law.,We should always obey the laws. We should always obey the laws.,We must always keep the law.,We should always abide by the law.
194256,1084522,I can't drink milk.,I can't drink milk.,I can't drink milk. I can't drink milk.,I can't drink milk.,I can't drink milk.
196963,1094582,Tom disappeared.,Tom's gone.,Tom disappeared. Tom disappeared.,Tom went missing.,Tom's gone.
199055,1098659,Read this.,Read it.,Read this. • Read this. • Read this.,Read this.,Read this. Read this.
199703,1107280,The cat is black.,The cat is black.,The cat is black.,Cats are black.,The cat's black.
200020,1110791,I'm afraid of heights.,I'm afraid of heights.,I'm afraid of heights. I'm afraid of heights. I'm afraid of heights.,I don't like heights. I'm afraid of heights.,I'm afraid of heights.
200054,1111548,Hop in.,Jump in! Jump in! Jump in!,Jump on. Jump on. Jump on. Jump on.,Get in.,Hop in.
200881,1122514,I'm a woman.,I'm a woman.,I'm a woman. I'm a woman.,I'm a woman. I'm a woman.,I'm a woman.
201009,1123763,Is she Japanese?,Is she Japanese?,Are you Japanese?,Is she Japanese?,Is she Japanese?
201363,1126684,Help me!,Help me! Help me! Help me!,Help me! Help me!,I can't help it.,Help me!
203216,1151779,Today is Thursday.,It's Thursday.,Today is Thursday.,It's Thursday today.,Today's Thursday. Today's Thursday.
203271,1152188,She is stubborn.,"She's stubborn, she's stubborn, she insists.",She's stubborn. She's stubborn.,She's stubborn.,She's stubborn.
204054,1164341,Tom overslept.,Tom fell asleep.,Tom slept too much. Tom slept too much.,Tom overslept.,Tom fell asleep.
206235,1194034,I'm not a doctor.,I'm not a doctor.,I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor.,I'm not a doctor. I'm not a doctor.,I'm not a doctor.
206742,1205289,Welcome to Tatoeba!,Welcome to Tatua! Welcome to Tatua! Welcome to Tatua!,Welcome to Tatoeba. Welcome to Tatoeba. Welcome to Tatoeba. Welcome to Tatoeba.,Welcome to the Tatoeba project website.,Welcome to Tatoeba!
207737,1222816,Horses are animals.,Horses are animals.,Horses are animals. Horses are animals.,Horses are animals.,Horses are animals.
209573,1258802,Why did she do that?,Why would she do that?,Why did you do that?,Why did she do that? &lt;i&gt;Why did she do that? &lt;i&gt;Why did she do that?&lt;/i&gt;,Why would she do that?
209642,1260118,He's in the kitchen.,He's in the kitchen.,He's in the kitchen. He's in the kitchen. He's in the kitchen.,He's in the kitchen.,He's in the kitchen.
210112,1276135,This bird can't fly.,This bird can't fly.,This bird can't fly. This bird can't fly.,This bird can't fly. This bird can't fly.,This bird can't fly. This bird can't fly.
210140,1276904,I have already finished reading this book.,I've finished reading this book.,I've already finished reading this book. I've already finished reading this book.,I have already finished reading this book.,I'm done reading that book.
210311,1283955,That's a lie!,That's a lie!,It's a lie! It's a lie!,No!,That's a lie!
210362,1285500,The apple doesn't fall far from the tree.,"Like father, like son.",The apple doesn't fall far from the tree.,The child of a man is a woman. The child of a woman is a woman.,The apple doesn't fall far from the tree.
210564,1292208,Don't wait.,Don't wait up.,"Don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait, don't wait!",Don't wait.,Don't wait up.
