,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
145302,434410,Can you help me?,Can you help me? ♪ Can you help me? ♪ Can you help me? ♪ Can you help me? ♪ Can you help me? ♪ Can you help me? ♪ Can you help me? ♪ Can you help me? ♪ Can you help me? ♪ Can you help me?,Can you help me? Can you help me? Can you help me? Can you help me? Can you help me?,Can you help me?,Can you help me?
145324,434458,Come with me.,Come with me. Come with me. Come with me.,Come with me. Come with me. Come with me. Come with me.,Come with me. Come with me.,Come with me.
145430,434680,Enough!,That's enough! That's enough!,Enough!,That's enough!,That's enough!
145562,434964,He likes to swim.,He likes to swim.,He likes to swim. He likes to swim.,He likes to swim.,He likes swimming.
145620,435084,Help!,Help! Help! Help!,Help! Help! Help! Help! Help! Help! Help! Help! Help! Help! Help! Help! Help! Help!,Help me! Help me!,Help!
145653,435199,Did something happen?,Did something happen?,Did something happen? Did something happen?,Did something happen?,Did something happen?
145671,435279,Whose turn is it?,Whose turn is it?,Who's next? It's whose turn?,Whose turn is it?,Whose turn is it?
145685,435409,It's too big.,It's too big. It's too big. It's too big.,It's too big.,It's too big. It's too big.,It's too big.
145711,435575,Calm down.,Calm down.,Calm down.  Relax.  Relax.  Take it with soda.  Lower a change.  Get in peace.  Calm down!,Calm down.,Calm down.
145735,435647,He can also speak Russian.,He can speak Russian as well. He can speak Russian as well. He can speak Russian as well.,"He can speak Russian, too.",He can also speak Russian.,He can speak Russian as well. &gt;&gt; He can speak Russian as well. &gt;&gt; He can speak Russian as well. &gt;&gt; He can speak Russian. &gt;&gt; He can also speak Russian. &gt;&gt;:
145751,435750,That's a good question.,That's a good question.,That's a good question.,That's a good question. That's a good question.,That's a good question.
145754,435754,Has something happened?,Did something happen?,Did something happen? Did something happen?,Did something happen?,Did something happen?
145763,435772,Life is fun.,Life is fun.,Life is fun.,Life is fun.,Life is a pleasure.
145785,436096,Fuck off!,"Fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you!",Go fuck yourself! Go fuck yourself! Go fuck yourself! Go fuck yourself! Go fuck yourself! Go fuck yourself!,Fuck you!,Fuck off!
145852,436243,How old are you?,How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you? ♪ How old are you?,How old are you?  How old are you?  How old are you?  How old are you?,How old are you?,How old are you?
145866,436275,I am tall.,I'm tall. I'm tall.,I'm tall.,I'm tall. I'm tall.,I'm tall. I'm tall.
145869,436281,I agree.,I'll do it. I'll do it. I'll do it. I'll do it. I'll do it. I'll do it. I'll do it. I'll do it. I'll do it.,I agree. I agree. I agree. I agree. I agree. I agree. I agree.,I agree. I agree.,I agree.
145935,436423,I am ready.,I'm ready. I'm ready.,I'm ready. I'm ready.,I'm ready. I'm ready.,I'm ready.
145944,436445,I am too short.,I'm too short.,I am too low. I am too small. I am too low.,I'm too short.,I'm too short.... I'm too short.... I'm too short.
145987,436541,I don't know what to say.,I don't know what to say. I don't know what to say. I don't know what to say.,I don't know what to say.,I don't know what to say.,I don't know what to say.
146366,438930,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?
146367,438940,We are happy.,We're happy.,We're happy. We're happy.,We're happy.,We're happy.
146452,441955,It was a terrible day.,It was a terrible day. ♪ It was a terrible day. ♪ It was a terrible day. ♪ It was a terrible day. ♪ It was a terrible day.,It was a terrible day.,That was a terrible day.,It was a terrible day.
146472,442064,Who drew it?,Who drew this?,Who drew it?,Who drew it?,Who painted this?
146478,442109,Prices went up.,Prices have risen.,Prices went up.,Prices have gone up.,Prices have grown.
146484,442130,That's a good idea.,That's a good idea. ♪ That's a good idea. ♪ That's a good idea. ♪ That's a good idea. ♪ That's a good idea. ♪ That's a good idea.,That's a good idea.,That's a good idea.,That's a good idea.
146503,442957,Please open the bottle.,"Please open the bottle. Please open the bottle. Open the bottle, please. Open the bottle, please. Open the bottle. Open the bottle, please.",Please open the bottle.,Please open the bottle.,Please open the bottle. Please open the bottle.
146505,442964,That's not fair.,It's not fair. ♪ It's not fair. ♪ It's not fair. ♪ It's not fair.,That's not fair.,That's not fair.,That's not fair.
146552,444986,I live here.,I live here. ♪ I live here. ♪ I live here. ♪ I live here. ♪ I live here.,I live here. I live here.,I live here.,I live here.
146610,448320,Stop!,Stop! Stop! Stop! Stop!,Stop! Stop! Stop! Stop! Stop! Stop! Stop!,Stop!,Stop!
146659,448963,It's snowing.,It's snowing. ♪ It's snowing. ♪ It's snowing. ♪,It's snowing.,It's snowing.,It's snowing.
146671,449023,No one knows.,No one knows.,Nobody knows.,No one knows.,No one knows.
146672,449029,Catch him.,Grab him. Grab him. Catch him.,Catch him. Catch him. Catch him.,Catch him. Catch him. Catch him.,Catch him.
146687,449095,Do you drink coffee?,Do you drink coffee? ♪ Do you drink coffee? ♪ Do you drink coffee? ♪ Do you drink coffee? ♪ Do you drink coffee? ♪ Do you drink coffee?,Do you drink coffee? Do you drink coffee? Do you drink coffee? Do you drink coffee?,Would you like some coffee?,Do you drink coffee?
146688,449105,I eat here.,I eat here. ♪ I eat here.,Like here. I eat here.,I'm eating here.,I eat here.
146692,449111,Your dog is here.,Your dog is here. Here's your dog. Here's your dog. Here's your dog.,Here is your dog. Your dog is here. Your dog is here. Your dog is here. Your dog is here. Your dog is here.,Your dog is here. Your dog is here.,Your dog is here.
146694,449118,This is your key.,It's your key. Here's your key. Here's your key. Here's your key. Here's your key. Here's your key.,This is your key.,This is your key.,This is your key.
146709,449699,What should I do?,What am I supposed to do? ♪ What am I supposed to do? ♪ What am I supposed to do?,What should I do?,What should I do?,What should I do?
146725,450074,Come if you can.,"Come if you can. ♪ Come if you can. ♪ Come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come.",Come if you can.,Come if you can.,Come if you can.
146778,451212,She has few friends.,She doesn't have many friends.,She has few friends. She has few friends.,He has few friends.,She has few friends.
147019,453219,Happy birthday!,Happy birthday!,Happy birthday!,Happy birthday! Happy birthday!,Happy birthday!
147057,453394,Love is blind.,Love is blind.,Love is blind.,Love is blind. Love is blind by nature. Love is blind by nature.,Love is blind.
147078,453418,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two burgers.,I ordered two burgers.,I ordered two hamburgers.
147352,454490,I don't know what to do.,I don't know what to do. I don't know what to do.,I don't know what to do.,I don't know what to do. I don't know what to do.,I don't know what to do.
147369,454514,"I think, therefore I am.","I think, therefore I exist. I think, therefore, I exist. I think, therefore, I exist. ♪ Think, therefore, I exist. ♪ Think, therefore, exist.","I think, then I exist. I think, therefore I exist.","I'm thinking, so I'm in.","I think, therefore I exist.... I think, therefore I am."
147402,455290,What are you interested in?,What are you interested in? What are you interested in? What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?
147586,456157,It was love at first sight.,It was love at first sight.,It was love at first sight.,It was love at first sight.,It was love at first sight.
147623,456237,It's raining.,It's raining. It's raining.,It's raining. It's raining.,It's raining. It's raining.,It's raining.
147677,456357,May I help you?,Can I help you with something?,How can I help you?,Can I help you?,Can I help you?
147798,456627,Please speak more slowly.,"Please speak slowly. ♪ Speak slowly, please. ♪ Speak slowly, I beg you. ♪ Speak slowly, please. ♪ Speak slowly, please.","Talk slower, please.",Please speak more slowly.,"Please speak more slowly. יהוה Speak more slowly, please. ❏ Please speak more slowly."
147840,456719,She is from France.,She's from France.,She's from France. She's French.,He's from France. He's from France.,She is from France.
147894,457629,Hungry?,Are you hungry? ♪ Hungry? ♪ Are you hungry? ♪ Do you want to eat? ♪ Hungry? ♪ Hungry? ♪ Hungry? ♪ Hungry?,Are you hungry?,Are you hungry?,Are you hungry?
147900,457741,I trust you.,I trust you. ♪ I trust you. ♪ I trust you. ♪ I trust you.,I trust you.,I trust you. I trust you. I trust you.,I trust you.
147956,460021,My favorite color is red.,My favorite color is red.,The color I love is red. Red is my favorite color.,My favorite color is red.,My favorite color is red.
147971,460058,I lost my key.,I lost my key. ♪ I lost my key. ♪ I lost my key. ♪ I lost my key. ♪ I lost my key.,I lost my key. I lost my key. I lost my key. I lost my key. I lost my key.,I lost my key. I lost my key.,I've lost my key.
147996,460198,Crazy!,Crazy!,Crazy!,Crazy!,Crazy!
148175,461908,Where is your dog?,Where's your dog? Where's your dog? Where's your dog?,Where's your dog?,Where's your dog?,Where's your dog?... Where's your dog?.... Where's your dog?
148228,462430,Shut up!,Shut up! Shut up!,Shut up! Shut up! Shut up! Shut up! Shut up! Shut up! Shut up! Shut up!,Shut up!,Shut up!
148248,462476,Stay there.,Stay there. Stay there. Stay there. Stay there.,Stay there. Stay there.,Stay there.,Stay there.
148271,462526,That hurts.,It hurts.,It hurts. It hurts.,That hurts.,It hurts.
148296,462578,"The bill, please.","The bill, please. ♪ The bill, please.","Check, please.","Check, please.",Please.
148342,462670,The customer is always right.,The client is always right.,The customer is always right.  The customer is always right.,The customer is always right.,The customer is always right.
148756,464282,Turn around.,Turn around.,Turn around. Turn around. Turn around. Turn around. Turn around!,Turn around. Turn around. Turn around.,Turn around.
148760,464290,Turn right.,Turn right. ♪ Turn right. ♪ Turn right.,Turn right. Turn right. Turn right. Turn right.,Turn right.,Turn right.... Turn right.....
148778,464330,Wash your hands.,Wash your hands. Wash your hands. Wash your hands. Wash your hands.,Wash your hands. Wash your hands.,Wash your hands.,Wash your hands.
148881,464546,What do you need?,What do you want?,What do you need?,What do you need?,What do you need?
148890,464566,What does this mean?,What does that mean?,What does this mean?,What does that mean?,What does that mean?
149029,466624,What's your phone number?,What's your phone number? What's your phone number? What's your phone number? What's your phone number?,What is your phone number?  What is your phone number?,What's your phone number?,What's your phone number?
149039,466728,Please wait five minutes.,"Please wait five minutes. ♪ Wait five minutes, please.",Please wait five minutes.,Please wait five minutes. Please wait five minutes. Please wait five minutes.,Please wait five minutes.
149057,467339,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.
149075,467672,Where is your father?,Where's your father? Where's your father? Where's your father?,Where's your father?,Where's your father?,Where's your father?
149123,469126,She's my sister.,She's my sister.,She's my sister. She's my sister.,She's my sister. She's my sister. She's my sister.,She's my sister.
149256,472091,I study Korean.,I'm studying Korean. I'm learning Korean.,Korean study.  I study Korean.  I learn Korean.,I study Korean. I study Korean.,I am studying Korean. I am studying Korean. I am learning Korean.
149275,472431,I was wrong.,I was wrong. ♪ I was wrong. ♪ I was wrong. ♪ I was wrong. ♪ I was wrong. ♪ I was wrong. ♪ I was wrong.,I was wrong.,I was wrong.,I was wrong.
149288,473177,"Hi, how are you?","Hi, how are you? How are you? How are you?","Hello, how are you? Hello, how are you? Hello! How are you?","Hi, how are you?","Hi, how are you?"
149538,477061,No.,No. No. No. No.,No.,No.,No.
149541,477086,Yes.,Yeah. Okay.,Yeah.,Yeah.,Yeah.
149667,478255,He closed the door.,He closed the door.,He locked the door.,He closed the door.,He closed the door.
149694,478568,I have no friends.,I don't have any friends. ♪ I don't have any friends.,I don't have any friends.,I don't have any friends. I don't have any friends.,I don't have any friends.
149808,481593,Are they friends?,Are they friends? ♪ They're friends? ♪ They're friends?,Are they friends? Are they friends?,Are they friends?,Are they friends?
149868,482303,Where is my book?,Where's my book? Where's my book?,Where's my book?,Where's my book?,Where is my book?
149949,483350,Guns don't kill people. People kill people.,"Weapons don't kill people, people kill people, they don't kill weapons, they kill people.","Guns don't kill people, people kill people.",Guns don't kill people.,"Weapons don't kill people, people kill people."
150041,484648,Drive safely.,Drive carefully.,Drive safely.,Drive safely.,Have a safe trip.
150094,485099,Thanks anyway.,"Anyway, thank you.",Thanks anyway.,Thanks anyway.,"Anyway, thanks."
150159,486448,I must go now.,I have to go now.,I have to go now. I have to go now. I have to go now. I have to go right now.,I have to go now.,I have to go now.
150190,487006,Cheers!,Cheers to your health! Cheers to your health! Cheers to your health!,Cheers!,Cheers!,Thank you!
150242,487828,Swimming is easy.,It's easy to swim.,Swimming is easy. Swimming is simple.,Swimming is easy.,Swimming is easy.
150457,493028,Do you know the answer?,Do you know the answer?,You know the answer?,Do you know the answer?,Do you know the answer?
150558,495717,I'm a journalist.,I'm a journalist. I'm a journalist. I'm a journalist.,I'm a journalist.,I'm a journalist.,I'm a journalist.
150562,495838,Please close the door.,Please close the door. Please close the door. Please close the door.,"Close the door, please. Please close the door.",Please close the door.,Please close the door.
150727,497969,See you tomorrow.,I'll see you tomorrow.,See you tomorrow.,See you tomorrow.,See you tomorrow!
150811,499689,Good afternoon.,Good afternoon.,Good afternoon!,Good afternoon.,Good afternoon.
150828,499998,I'm just looking.,I'm just looking. ♪ I'm just looking.,I'm just looking.,I'm just looking.,I'm just looking.
151264,506446,Don't worry.,Don't worry. Don't worry. Don't worry. Don't worry. Don't worry. Don't worry.,Don't worry. Don't worry. Don't worry! Don't worry.,Don't worry. Don't worry. Don't worry. Don't worry.,Don't worry.......... Don't worry.....
151303,506948,Do you smoke?,Do you smoke? Do you smoke?,Do you smoke?,"Do you smoke, do you smoke, do you smoke, do you smoke?",Do you smoke?
151505,508844,The dog is dead.,Dog's dead. Dog's dead. Dog's dead. Dog's dead. Dog's dead. Dog's dead. Dog's dead. Dog's dead. Dog's dead. Dog's dead.,The dog is dead.,The dog is dead.,The dog is dead. &gt;&gt; The dog is dead. &gt;&gt; The dog is dead. &gt;&gt; The dog is dead. &gt;&gt; The dog is dead. &gt;&gt; The dog is dead. &gt;&gt; The dog is dead. &gt;&gt; The dog is dead. &gt;&gt; The dog is dead. &gt;&gt;
151757,513527,Tom was fired.,Tom was fired. Tom was fired.,Tom was fired.,Tom got fired.,Tom was fired.
151760,513534,He raised his hands.,He raised his hands.,He raised his hands.,He raised his hands.,He raised his hands.
151849,515472,That's life.,It's life. ♪ It's life. ♪ That's life.,That's life. That's life.,That's life. That's life.,Life like this.
151862,515572,Are you Japanese?,Are you Japanese? Are you Japanese? Are you Japanese?,Are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese?,Are you Japanese or Japanese?,Are you Japanese?
151926,516321,Today is Monday.,It's Monday.,Today is Monday.,It's Monday.,Today is Monday.
151946,516601,He is poor.,He's poor.,He's poor.,He's poor.,He is poor.
151972,516745,Goodbye!,Goodbye!,Goodbye. Bye. Bye. Bye. Bye!,Bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye,Good-bye!
152040,518553,You may go.,You can go. ♪ You can go. ♪ You can go. ♪ You can go. ♪ You can go. ♪ You can go. ♪ You can go.,You can go.  You can go.  You can go.  You can go.  You can go.  You can go.  You can go.  You can go.  You can go.,You can go. You can go.,You can go.
152216,521667,It's a good question.,That's a good question.,That's a good question.,That's a good question.,That's a good question.
152365,525267,"Tatoeba means ""for example"" in Japanese.","Tatoeba means ""e.g."" in Japanese. * Tatoeba means ""e.g."" in Japanese.","Tatoeba means ""for example"" in Japanese.  In Japanese, ""tatoeba"" means ""for example"".","Tatoeba means ""like"" in Japanese.","Tatoeba means ""e. g."" in Japanese. &gt;&gt; Japanese ""Tatoeba"" means ""for example."""
152581,528455,She woke up.,She's awake.,She woke up.,He's awake. He's awake.,She woke up.
152677,529830,Don't tell anyone this.,Don't tell anyone about it. Don't tell anyone about it.,Don't tell anyone. Don't tell anyone this.,Don't tell anyone that.,Don't tell anyone that.
152752,530595,He ordered a beer.,He asked for a beer.,He ordered a beer. He ordered a beer.,He ordered a beer.,He ordered a beer.
152938,533100,Where is the most beautiful place in the world?,Where is the most beautiful place in the world?,Where's the most beautiful place in the world?,Where is the most beautiful place in the world?,Where is the most beautiful place in the world?
153004,533746,How's your mother?,How's your mother? ♪ How's your mom? ♪ How's your mom? ♪ How's your mom? ♪ How's your mom?,How's your mother? How's your mother?,How's your mother?,How's your mom?
153176,535419,Do you have a cellphone?,Do you have a cell phone? Do you have a cell phone? Do you have a cell phone? Do you have a cell phone? Do you have a mobile phone?,Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone?,Do you have a cell phone? Do you have a cell phone?,Do you have a mobile phone?
153309,538123,Hi.,Hello. Hi. Hi. Hi. Hi. Hi. Hi. Hi. Hi.,Hello. Hello. Hello!,Hi. Hello.,Hi. (Applause)
153344,539017,He likes fishing.,He likes fishing.,He likes to fish.,He likes to fish.,He likes to fish.
153938,551318,Why did you lie?,Why did you lie? Why did you lie? Why did you lie?,Why did you lie?,Why did you lie?,Why did you lie?... Why did you lie?.... Why did you lie?......
153943,551443,No problem.,There's no problem. There's no problem. There's no problem.,No problem.,It's okay! It's okay. It's okay.,No problem.
154720,566026,Time is money.,Time is money.,Time is money. Time is gold.,Time is money.,Time? It's money.
154778,567368,I'm a student.,I'm a student.,I'm a student. I'm a student.,I am a student. I am a student.,I'm a student.
155238,576084,I hate Mondays.,I hate Mondays. ♪ I hate Mondays. ♪ I hate Mondays. ♪ I hate Mondays.,I hate Mondays.,I hate Mondays.,I hate Mondays.
155418,580774,I'm a man.,I'm a man. I'm a man. I'm a man.,I am a man. I am a man. I am a man.,I'm a man.,I'm a man.
155444,582309,I need help.,I need help. I need help!,I need help. I need help!,I need help.,I need help.
156353,607840,Go to hell!,Go to hell! Go to hell! Go to hell!,Go to hell! Go to fry asparagus! Go to hell!,Go to hell!,Go to hell!
156468,611372,We want complete sentences.,We want complete sentences. We want complete sentences. We want complete sentences. We want complete sentences.,We want full sentences.  We want complete sentences.,We want full sentences.,We need complete sentences.
156481,611769,You don't need to call me.,You don't have to call me. You don't have to call me.,You don't need to call me.  You don't need to call me.  You don't need to call me.,You don't have to call me.,You don't need to call me.
156708,619636,Do you come here often?,Do you come here often?,Do you come here often? Do you come here often? Do you come here often?,Do you come here often?,Do you come here often?
157323,628213,Correct!,That's right!,Right!,That's right!,That's right!
157327,628230,We agree.,We agree.,We agree.,We agree. We agree. We agree. We agree.,We agree.
157419,630620,This novel is boring.,This novel is boring.,This novel is boring.,This novel is boring.,This novel is boring.
157445,631038,Jump.,Jump!,Jump.  Jump.  Jump.,Get out of here.,Jump.
157606,634028,Do you speak Turkish?,Do you speak Turkish?,Do you speak Turkish? Do you speak Turkish?,Do you speak Turkish?,Do you speak Turkish?
157795,638544,Where is the train station?,Where's the train station? Where's the train station?,Where is the railway station?  Where is the train station?  Where is the train station?  Where is the train station?,Where's the train station?,Where's the train station?
158135,647456,Bye!,Bye. Bye. Bye. Bye.,Bye. Bye. Bye. Bye! Bye!,Bye.,Bye-bye.
158594,661572,Today is Saturday.,It's Saturday.,Today is Saturday. It is Saturday today.,It's Saturday.,Today is Saturday.
159294,672229,He ran.,He ran.,He ran.,He ran.,He ran. ▸ He ran.
159301,672252,You run.,You're running.,Run.,You run.,You run.
159302,672254,He runs.,He's running.,He runs.,He runs.,He runs.
159304,672264,She runs.,She's running.,She runs.,He's running.,She runs.
163060,693617,Idiot!,You idiot!,Idiot!,Idiot!,You fool!
163441,699465,I'm 18 years old.,I'm 18 years old.,I'm 18 years old. I'm 18 years old.,I am 18 years old. I am 18.,I'm eighteen years old.
163557,702472,Colorless green ideas sleep furiously.,The colorless green thoughts sleep fiercely.,Colorless green ideas sleep furiously. The colorless green ideas sleep furiously.,"Colorless green ideas sleep furiously, and colorless green ideas sleep furiously.",Colorless green ideas sleep furiously.
163670,703304,We're neighbors.,We're neighbors. We're neighbors.,We're neighbors.,We're neighbors.,We're neighbours.
163907,706874,Happy Mother's Day!,Happy Mother's Day!,Happy Mother's Day!,Happy Mother's Day!,Happy Mother's Day!
164129,707526,Count to thirty.,Count to 30. Count to 30. Count to 30.,Count to thirty.,Count to thirty.,Count to thirty.
165980,740214,I am a woman.,I'm a woman.,I am a woman. I am a woman.,I'm a woman.,I'm a woman.
167003,757414,I'm listening to music.,I'm listening to music.,I'm listening to music.,I'm listening to music.,I listen to music.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.","You can write in any language. All languages on the Tatoeba project are equal. * You can write in any language. On the Tatoeba project, all languages are equal. * You can write in any language you want. In Tatoeba, all languages are equal.","You can write in the language you want. In Tatoeba, all languages are the same. In Tatoeba, all languages are the same. In Tatoeba, all languages are the same. In Tatoeba, all languages are the same. In Tatoeba, all languages are the same.",You can write in any language you want. All languages are equal in Tatoeba. You can write in any language you want. All languages are equal in Tatoeba.,You can write in any language. All languages on Tatoeba are equal.
168951,794758,I am not a witch.,I'm not a witch.,I'm not a witch.,I'm not a witch.,I'm not a witch.
171915,811376,He lives alone.,He lives alone.,He lives alone.,He lives alone.,He lives alone.
172646,827295,I hate you.,I hate you. ♪ I hate you.,I hate you. I hate you. I hate you. I hate you.,I hate you.,I hate you.
173753,847863,I'm always hungry.,I'm always hungry. ♪ I'm always hungry. ♪ I'm always hungry. ♪ I always want to eat. ♪ I'm always hungry. ♪ I'm always hungry. ♪ I'm always hungry.,I'm always hungry. I'm always hungry.,I'm always hungry.,I'm always hungry.
174179,854500,Get lost.,Get out of here. Get out of here.,Get lost.,Get out.,Fuck off.
175014,870628,Please continue.,Please continue. Please continue. Please continue.,Please continue.,Please continue.,Please continue.
176212,881861,I don't have a cat.,I don't have a cat. ♪ I don't have a cat.,I don't have a cat. I don't have a cat. I don't have a cat.,I don't have a cat.,I don't have a cat.
176341,883062,Choose one.,Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. ♪ Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one. Pick one.,Pick one.,Pick one.,Choose one.
177553,890415,Come!,"Come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come!",Come on!,Come!,Come here!
177627,891930,I want to die with Getter Jaani.,I want to die with Getter Janie.,I want to die with Getter Jaani.,I want to die with Getter Jaani.,I want to die with Götter Jaani.
178536,906328,Run!,Run!,Run! Run! Run! Run! Run! Run! Run! Run! Run! Run!,"Run, run, run!","Run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run!"
179456,914029,What do you think?,What do you think?,What do you think? What do you think?,What do you think? What do you think?,What do you think?
180182,925077,It is too expensive.,It's too expensive. It's too expensive. It's too expensive. It's too expensive.,It's very expensive. It's too expensive. It's so expensive.,It's too expensive.,Too expensive.
181016,943665,Hooray!,Yay!,Hooray!,Yay!,Oorah!
181351,953107,Are you on Facebook?,Are you on Facebook?,Do you have Facebook?  Are you on Facebook?  Are you on Facebook?  Is it on Facebook?  Are you on Facebook?,Are you on Facebook? Do you have a face?,Do you have a Facebook page?
181446,953202,Do you like cooking?,Do you like cooking? ♪ Do you like cooking? ♪ Do you like cooking? ♪ Do you like cooking?,Do you like cooking? Do you like cooking?,Do you like cooking?,Do you like cooking?
181468,953224,Do you think I'm stupid?,Do you think I'm stupid? Do you think I'm stupid? Do you think I'm stupid? Do you think I'm stupid?,Do you think I'm stupid?,Do you think I'm stupid?,Do you think I'm stupid?
181530,953286,Have you eaten?,Did you eat? Did you eat?,Have you eaten?,Have you eaten?,Have you eaten?
181540,953296,Have you ever dyed your hair?,Have you ever dyed your hair? ♪ Have you ever dyed your hair? ♪ Have you ever dyed your hair?,Have you ever dyed your hair?,Have you ever dyed your hair?,Have you ever dyed your hair?
181601,953358,How was your summer?,What was your summer like? ♪ How was your summer? ♪ How was your summer?,How was your summer? How was your summer?,How was your summer?,How was your summer?
181609,953366,I ate too much.,I ate too much. ♪ I ate too much. ♪ I ate too much.,I ate too much.,I ate too much.,I've eaten. I've eaten too much.
184000,982239,Do you like strawberries?,Do you like strawberries?,Do you like strawberries? Do you like strawberries? Do you like strawberries? Do you like strawberries?,Do you like strawberries?,Do you like strawberries?
184037,983650,This is a horse.,It's a horse. It's a horse. It's a horse.,This is a horse.,It's a horse.,It's a horse.
184118,987485,"Champagne, please.","Champagne, please.","Champagne, please.","Champagne, please.","champagne, please."
184160,990384,Grammar is very complicated.,Grammaticals are very complicated.,Grammar is very complicated.,Grammar is very complicated.,Grammar is very complicated.
184235,993268,He died recently.,He just died.,He died recently.,He died recently.,He died recently.
184422,997880,I don't drink coffee.,I don't drink coffee. I don't drink coffee.,I don't drink coffee.,I don't drink coffee.,I don't drink coffee.
186312,1024693,Tom isn't here.,Tom isn't here. Tom isn't here. Tom isn't here. Tom isn't here.,Tom's not here.,Tom isn't here.,Tom isn't here........ Tom isn't here.
187666,1026051,Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.
188288,1026675,Tom closed his eyes.,Tom closed his eyes.,Tom closed his eyes. Tom closed his eyes.,Tom closed his eyes.,Tom closed his eyes.
188621,1027009,Tom blushed.,Tom blushed.,Tom blushed.,Tom blushed.,Tom blushed.
190239,1028631,Tom hugged Mary.,Tom hugged Mary.,Tom hugged Mary.,Tom hugged Mary.,Tom hugged Mary.
193352,1064331,It wasn't my fault.,It wasn't my fault.,It wasn't my fault.,It wasn't my fault.,It wasn't my fault.
193634,1071653,Eat your soup before it gets cold.,Eat your soup before it gets cold. Eat your soup before it gets cold. Eat your soup before it gets cold.,Eat the soup before it cools. Take the soup before it cools. Eat your soup before it cools.,Eat your soup before it gets cold.,Eat your soup before it gets cold.
193744,1075501,May I put it here?,Can I put it here? Can I put it here? Can I put it here? Can I put it here? Can I put it here? Can I put it here? Can I put it here? Can I put it here? Can I put it here? Can I put it here? Can I put it here?,Can I put it here?,Can I put it here?,Can I put it here?
193745,1075502,We should always obey laws.,We must always abide by the law.,We should always abide by the law.,We must always obey the law.,We must always obey the laws.
194256,1084522,I can't drink milk.,I can't drink milk.,I can't drink milk.,I can't drink milk.,I can't drink milk.
196963,1094582,Tom disappeared.,Tom is missing. Tom is gone.,Tom's gone.,Tom has disappeared.,Tom disappeared.
199055,1098659,Read this.,Read it. Read it. Read it. Read it.,Read this. Read this. Read this. Read this. Read this.,Read this.,Read this.
199703,1107280,The cat is black.,The cat's black. The cat's black.,The cat is black.,The cat is black.,The cat is black.
200020,1110791,I'm afraid of heights.,I'm afraid of heights.,I'm afraid of heights. I'm afraid of heights.,I'm afraid of heights.,I'm afraid of heights.
200054,1111548,Hop in.,Hop in.,Get inside.,Get in.,Jump in.
200881,1122514,I'm a woman.,I'm a woman.,I am a woman. I am a woman. I am a woman.,I'm a woman.,I'm a woman.
201009,1123763,Is she Japanese?,Is she Japanese?,Is she Japanese?,Is she Japanese?,Is she Japanese?
201363,1126684,Help me!,Help me!,Help me! Help me! Help me! Help me! Help me! Help me! Help me! Help me!,Help!,Help me!
203216,1151779,Today is Thursday.,It's Thursday.,Today is Thursday.,It's Thursday.,It's Thursday today.
203271,1152188,She is stubborn.,She's stubborn.,She's a stubborn person. She's stubborn.,He's stubborn. He's stubborn.,She's stubborn.
204054,1164341,Tom overslept.,Tom slept.,Tom fell asleep.,Tom fell asleep.,Tom overslept.
206235,1194034,I'm not a doctor.,I'm not a doctor. I'm not a doctor.,I am not a doctor. I am not a doctor. I am not a doctor.,I'm not a doctor.,I'm not a doctor.
