,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
148890,464566,What does this mean?,What does that mean?,What does this mean?,What does that mean?,What does that mean? What does that mean? What does this mean?
149029,466624,What's your phone number?,What's your phone number? What's your phone number? What's your phone number?,What's your phone number?,What's your phone number?: What's your phone number?:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::,What's your phone number? What's your number?
149039,466728,Please wait five minutes.,Please wait five minutes. Please wait five minutes.,Just give me five minutes.,Please wait for five minutes.,Please wait five minutes.
149057,467339,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.
149075,467672,Where is your father?,Where's your father?,Where's your dad?,Where is your father?Where is your father?Where is your father?Where is your father?,Where's your father?
149123,469126,She's my sister.,"She's my sister, she's my sister, she's my sister.",She's my sister.,She's my sister.,She's my sister.
149256,472091,I study Korean.,I'm studying Korean.,I study Korean.,I'm studying Korean.,I study Korean. I study Korean.
149275,472431,I was wrong.,I was wrong.,I was wrong.,"I was wrong, I was wrong, I was wrong, I was wrong.",I was wrong. I was wrong.
149288,473177,"Hi, how are you?","Hey, how are you?",Hello. How are you?,"Hi, how are you?! How are you?How are you?How are you?How are you?","Hello, how are you?"
149538,477061,No.,No.,"No, no, no.","No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",Nope.
149541,477086,Yes.,Yes.,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes.",Yes.,Yeah.
149667,478255,He closed the door.,He closed the door.,He closed the door.,"He closed the door, and he closed the door.",He closed the door.
149694,478568,I have no friends.,I don't have any friends.,I don't have any friends.,"I don't have any friends, I don't have any friends, I don't have any friends, I don't have any friends.",I don't have any friends.
149808,481593,Are they friends?,Are they friends?,Are they friends?,Are they friends?What are they friends?What are they friends?,Are they friends?
149868,482303,Where is my book?,Where's my book?,Where's my book?,Where's my book? Where's my book?,Where's my book?
149949,483350,Guns don't kill people. People kill people.,"Guns don't kill people, people kill people, guns don't kill people, people kill people.","Guns don't kill people, people kill people.","It's not the guns that kill men, it's the men that kill men.","Weapons don't kill people, people kill people."
150041,484648,Drive safely.,Drive safe!,Drive carefully.? Drive carefully... Please drive carefully.,Drive carefully!,Drive safely! 的 Drive carefully.
150094,485099,Thanks anyway.,Thanks anyway. Thanks anyway!,Thanks anyway.,"Thank you, though.",Thank you anyway. 的 Thank you anyway!
150159,486448,I must go now.,I have to go now.,I have to go now.,I've got to go now.,I have to go now. I have to go now.
150190,487006,Cheers!,"Thanks, cheers, cheers, cheers, cheers!",Cheers!,Cheers!!!!!!Thank you!!!!Yours!!!!,Cheers!
150242,487828,Swimming is easy.,Swimming is easy.,Swimming's fun.,Swimming is easy.,Swimming is easy.
150457,493028,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer to this question?! Do you know the answer to this question?,Do you know the answer? Do you know the answer?
150558,495717,I'm a journalist.,I'm a journalist.,I'm a reporter.,I'm a journalist.,I'm a journalist.
150562,495838,Please close the door.,"Close the door, please.","Close the door, please.","Close the door, please, please, and close the door, and close the door, please.Close the door, please.Close the door, please, and close the door.",Please close the door. Please close the door. Please close the door.
150727,497969,See you tomorrow.,See you tomorrow.,See you tomorrow.,"See you tomorrow, see you tomorrow, see you tomorrow, see you tomorrow, see you tomorrow, see you tomorrow, see you tomorrow.",See you tomorrow! See you tomorrow. See you tomorrow. See you tomorrow. See you tomorrow!
150811,499689,Good afternoon.,Good afternoon!,How do you do?,Good afternoon.,Hello!
150828,499998,I'm just looking.,I'm just watching.,I'm just looking.,I'm just looking.,I'm just looking. I'm just looking around. I'm just looking around.
151264,506446,Don't worry.,Don't worry. Don't worry. Don't worry.,Don’t worry。 Don’t worry。 Don’t worry。 Don’t worry。 Don’t worry。,"Don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry.",Don't worry. Don't worry. Don't worry. Don't worry about it. Don't worry. Don't worry. Don't worry. Don't worry.
151303,506948,Do you smoke?,Do you smoke? Do you smoke? Do you smoke?,Do you smoke?,Do you smoke?! Do you smoke?! Do you smoke?! Do you smoke?!,Do you smoke? Do you smoke?
151505,508844,The dog is dead.,The dog is dead.,The dog's dead.,The dog is dead.,The dog is dead.
151757,513527,Tom was fired.,Tom was fired.,Tom was fired.? Tom was dismissed. 。 Tom was dismissed from his job。 Tom lost his job。 Tom got fired。,"Tom was thrown out of the house, Thomas was fired, Tom was fired.",Tom was fired. Tom was fired.
151760,513534,He raised his hands.,He put his hands up.,He raised his hand.,He raised his hands.,He raised his hands.
151849,515472,That's life.,That's life. That's life. That's how it is. That's how it is.,It's life.,It's life.,That's life.
151862,515572,Are you Japanese?,Are you Japanese?,Are you Japanese?,Are you Japanese?: Are you Japanese?: Are you Japanese?::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::,Are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese? are you Japanese?
151926,516321,Today is Monday.,Today is Monday. Today is Monday.,It's Monday.,Today is Monday.,It's Monday.
151946,516601,He is poor.,He's poor.,He's poor.,He's poor.,He's poor.
151972,516745,Goodbye!,Bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-by-by-by-by-by-by-by-by-by-by-by-by-bye-by-by,Goodbye!,"Good-bye, back in sight, goodbye, ciao, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye, good-bye.",Bye! Bye! Bye! bye! bye! bye! bye! bye!
152040,518553,You may go.,You're free to go. You're free to go.,"You can go, you can go, you can go, you can go, you can go, you can go, you can go, you can go.",You can go..You can go..You can go..You can go..You can go...You can go..,You are allowed to go. You can go. You can go. You can go. You can go. You can go.
152216,521667,It's a good question.,It's a good question.,That's a good question.,That's a good question.,That's a good question.
152365,525267,"Tatoeba means ""for example"" in Japanese.","Tatoeba is Japanese for ""for example.""",‘Tatoeba’ in Japanese means ‘e.g.’.,"""Tatoeba"" means ""for example"" in Japanese, and ""Tatoeba"" means ""for example"" in Japanese.","""Tatoeba"" means ""for example,"" in Japanese. ""Tatoeba"" means ""for example,"" in Japanese. ""Tatoeba"" means ""for example,"" in Japanese. ""Tatoeba"" means ""for example,"" in Japanese."
152581,528455,She woke up.,She woke up.,He woke up.,"She woke up, she woke up, she woke up, she woke up.",She woke up.
152677,529830,Don't tell anyone this.,Don't talk to anyone about this. Don't tell anyone. Don't tell anyone!,Don't tell anyone this.,Don't say that to anyone!!!!Don't say that to anyone.,Don't tell anyone!
152752,530595,He ordered a beer.,He ordered a beer.,He ordered a beer.,He ordered a beer.,He ordered a beer.
152938,533100,Where is the most beautiful place in the world?,Where's the most beautiful place on earth?,Where is the most beautiful place in the world?. Where is the most beautiful place in the world?,Where is the most beautiful place in the world?,Where is the most beautiful place in the world?
153004,533746,How's your mother?,How's your mother?,How's your mother?,How's your mother?: How's your mother?: How's your mother?:,How's your mother? How's your mother? How's your mother?
153176,535419,Do you have a cellphone?,Do you have a cell phone? Do you have a cell phone?,Do you have a cell phone?,Do you have a natel?: Do you have a natel?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?: Do you have a mobile phone?:,Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone? Do you have a mobile phone?
153309,538123,Hi.,"Hey, hey, hey, hey, hey, hey!","Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",Hello!,Hello! - Hello God! - Servus. - Grüezi. - Huhu!
153344,539017,He likes fishing.,He likes fishing.,He likes to fish.,He likes fishing.,He likes fishing.
153938,551318,Why did you lie?,Why did you lie? Why did you lie? Why did you lie? Why did you lie? Why did you lie? Why did you lie?,Why did you lie?,Why did you lie?,Why did you lie?
153943,551443,No problem.,No problem.,No problem.,"No problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem, no problem.",No problem. No problem. No problem. No problem. No problem.
154720,566026,Time is money.,Time is money.,Time is money.,"Time is money, time is money.",Time is money.
154778,567368,I'm a student.,I'm a student.,I'm a student.,"I'm a student, I'm a student.",I'm a student. I'm a student. I'm a student. I'm a student.
155238,576084,I hate Mondays.,I hate Mondays.,I hate Monday.,I hate Mondays.,I hate montage. I hate monday. I can't stand montage.
155418,580774,I'm a man.,I'm a man.,I am a man.,I'm a man.,I'm a man.
155444,582309,I need help.,I need help.,I need help.,I need help.,I need help.
156353,607840,Go to hell!,Go to hell!,Get the fuck out of here!,"Go to hell, go to hell, go to hell, go to hell, go to hell, go to hell!",Go to hell!
156468,611372,We want complete sentences.,"We want full sentences, we want whole sentences.",We want whole sentences.,We want full sentences.,We want complete sentences.
156481,611769,You don't need to call me.,You don't have to call me.,You don't have to call me.,You don't have to call me.,You don't have to call me.
156708,619636,Do you come here often?,Do you come here often?,Do you come here often?,Do you come here a lot?How often do you come here?How often do you come here?How often are you here?,Do you come here often?
157323,628213,Correct!,"Correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct.",That's right!,That's right!,"That's right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right?, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right, right,"
157327,628230,We agree.,We're in agreement.,"We agree, we agree, we agree.",We agree.,We agree. We agree.
157419,630620,This novel is boring.,This novel is boring.,This novel is boring.,This novel is boring.,This novel is boring.
157445,631038,Jump.,"Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump!","Jump, jump, jump, jump, jump.","Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump, Jump.",Jump.
157606,634028,Do you speak Turkish?,Do you speak Turkish? Do you speak Turkish?,Do you speak fur?,Do you speak Turkish?,Do you speak Turkish? Do you speak Turkish? Do you speak Turkish?
157795,638544,Where is the train station?,Where's the train station?,Where's the train station?,Where is the train station?: Where is the train station located?: Where is the train station located?,Where's the station?
158135,647456,Bye!,Bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye.,See you!,"Good-bye!, Ciao., hi!","Goodbye, bye, bye, bye, bye, bye, bye, bye, bye, bye!"
158594,661572,Today is Saturday.,Today is Saturday.,It's Saturday.,"Today's Saturday, it's Saturday, it's Saturday, it's Saturday.",Today's Saturday. Today's Saturday.
159294,672229,He ran.,He ran.,He ran.,He was running.,He ran. He ran.
159301,672252,You run.,You're running. You're running. You're running.,"You run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run, you run.",You're running.,You're running. They're running.
159302,672254,He runs.,He's running.,He's running.,He's running.,He's running. He's running.
159304,672264,She runs.,She's running.,He's running.,She's running.,She's running.
163060,693617,Idiot!,"Idiot, you fool, you idiot, you fool, you fool!",Idiot!,"Idiot, Idiot, Idiot, Idiot, Idiot, Idiot, Idiot, Idiot, Idiot, you idiot, you idiot, you idiot, you idiot!",Idiot!
163441,699465,I'm 18 years old.,I'm 18 years old.,"I'm 18 years old, and I'm 18 years old.",I'm 18 years old.,I am eighteen years old. I am 18. I am eighteen years old. I am 18 years old.
163557,702472,Colorless green ideas sleep furiously.,Colorless green ideas sleep furiously.,Colourless green ideas sleep furiously.,"Colourless green ideas are furiously asleep, while colourless green ideas sleep intensely.",Colorless green ideas sleep furiously.
163670,703304,We're neighbors.,We're neighbors.,We're neighbors... We're neighbours... We're neighbours.,We're neighbors.,We're neighbors.
163907,706874,Happy Mother's Day!,Happy Mother's Day!,Happy Mother's Day!,Happy Mother's Day!,Happy Mother's Day!
164129,707526,Count to thirty.,Count to 30.,"Count to 30, count to 30, count to 30, count to 30, count to 30.",Count to thirty.,Count up to thirty. Count up to thirty. Count up to thirty.
165980,740214,I am a woman.,I'm a woman.,I am a woman.,I'm a woman.,I'm a woman.
167003,757414,I'm listening to music.,I'm listening to music. I'm listening to music.,I listen to music. I listen to music.,"I'm listening to music, I'm listening to music.",I'm listening to music. I'm listening to music.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.","You can write in any language you want. Here on Tatoeba, all languages are the same.","You can write in any language you want. In Tatoeba, all languages are equal.. You can write in any language you want. In Tatoeba, all languages are equal.","You can write in the language you want. On Tatoeba, all languages are equal.",You may write here in any language. On Tatoeba all languages are equal.
168951,794758,I am not a witch.,I'm not a witch.,I'm not a witch.,I'm not a witch.,I'm not a witch.
171915,811376,He lives alone.,He lives alone.,He lives alone.,He lives alone.,He lives alone.
172646,827295,I hate you.,I hate you.,"I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you, I hate you.","I hate you, I hate you, I hate you.",I hate you.
173753,847863,I'm always hungry.,I'm always hungry.,I'm always hungry.,"I'm still hungry, I'm hungry all the time.",I'm always hungry.
174179,854500,Get lost.,Get the hell out of here!,Get out of here.,"Get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way!",Sneak!
175014,870628,Please continue.,Please continue.,"Go on, please.","Please continue, please continue, please continue, please continue.",Please go on!
176212,881861,I don't have a cat.,I don't have a cat.,I don't have a cat.,"I don't have a cat, I don't have a cat.",I don't have a cat.
176341,883062,Choose one.,Pick one.,Pick one.,Choose one.: Choose one.: Choose one.:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::,Pick one. 的 Pick one.
177553,890415,Come!,Come on!,Come on!,Come on!,"Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on!"
177627,891930,I want to die with Getter Jaani.,I want to die with Getter Jaani.,I want to die with Getter Jaan.,I want to die with Getter Jaani.,I want to die with Getter Jaani.
178536,906328,Run!,Run! Run away! Run away! Run away! Run away! Run away!,Run!,"Run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run, run!",Run!
179456,914029,What do you think?,What do you think? What do you think? What do you think?,What do you think?,What do you think?,What do you think?
180182,925077,It is too expensive.,It costs too much.,"It's too expensive, it's too expensive, it's too expensive, it's too expensive.",It's too expensive.,It's too expensive!
181016,943665,Hooray!,"Yay, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup, yup,",Hooray!,Hurrah!,Hurrah!
181351,953107,Are you on Facebook?,Are you on Facebook?,Do you have an account on Facebook?,You're on Facebook?: Are you on Facebook?: Are you on Facebook?:,Are you on Facebook? Are you on Facebook? Are you on Facebook? Are you on Facebook? Are you on Facebook? Are you on Facebook? Are you on Facebook?
181446,953202,Do you like cooking?,Do you like to cook? Do you like to cook? Do you like to cook?,Do you like cooking?,"Do you like to cook, or do you like to cook?",Do you like cooking? Do you like cooking? Do you like cooking?
181468,953224,Do you think I'm stupid?,You think I'm stupid?,You think I'm stupid?,Do you think I'm an idiot?: Do you think I'm an idiot?: Do you think I'm an idiot?,You think I'm stupid?
181530,953286,Have you eaten?,Have you eaten?,Have you eaten?,Did you eat?! Did you eat?! Did you eat?,Have you eaten yet? Have you eaten? Have you eaten?
181540,953296,Have you ever dyed your hair?,Have you ever painted your hair?,Have you ever dyed your hair? 。 Have you ever dyed your hair? • Have you ever dyed your hair? • Have you ever dyed your hair? • Have you ever dyed your hair?,Have you ever dyed your hair?: Have you ever dyed your hair?: Have you ever dyed your hair?: Have you ever dyed your hair?: Have you ever dyed your hair?,Have you ever dyed your hair?
181601,953358,How was your summer?,How was your summer? How was your summer? How was your summer?,How was your summer?,How did your summer go?How did your summer go?How did your summer go?How did your summer go?How did your summer go?,How was your summer? How was your summer? How was your summer?
181609,953366,I ate too much.,"I ate too much, I ate too much.",I ate too much.,I ate too much.,I ate too much.
184000,982239,Do you like strawberries?,Do you like strawberries? Do you like strawberries?,Do you like strawberry?,Do you like strawberries?,Do you like strawberries? Do you like strawberries? Do you like strawberries?
184037,983650,This is a horse.,This is a horse.,This is a horse.,It's a horse.,This is a horse. This is a horse. This is a horse.
184118,987485,"Champagne, please.","Champagne, please.","Champagne, please.","Champagne, please.","Champagne, please."
184160,990384,Grammar is very complicated.,Grammar is very complicated.,Grammar is really complicated.. Grammar is really complicated.,Grammar is a very difficult thing.,Grammar is very complicated.
184235,993268,He died recently.,He died recently.,He died recently.,"He recently passed away, and he died recently.",He died recently.
184422,997880,I don't drink coffee.,I don't drink coffee.,I don't drink coffee.,I don't drink coffee.,I don't drink coffee.
186312,1024693,Tom isn't here.,Tom's not here.,"Tom's not here, he's not here, he's not here, he's not here.",Tom's not here.,Tom isn't here.
187666,1026051,Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.. Tom doesn't like cats.,Tom doesn't like cats.,Tom doesn't like cats.
188288,1026675,Tom closed his eyes.,Tom closed his eyes. Tom closed his eyes.,Tom closed his eyes.,"Tom closed his eyes, Tom closed his eyes.",Tom closed his eyes. Tom closed his eyes.
188621,1027009,Tom blushed.,Tom was blushing.,Tom blushed.,Tom blushed.,Tom turned red.
190239,1028631,Tom hugged Mary.,Tom embraced Maria.,Tom hugged Maria.,Tom hugged Mary.,Tom hugged Mary. Tom hugged Mary.
193352,1064331,It wasn't my fault.,"It wasn't my fault, it wasn't my fault, it wasn't my fault.",It wasn't my fault.,"It wasn't my fault, it wasn't my fault.",It wasn't my fault. It wasn't my fault.
193634,1071653,Eat your soup before it gets cold.,Eat your soup before it gets cold. Eat your soup before it gets cold.,Eat your soup before it gets cold.,"Eat your soup before it cools, and eat your soup before it cools.",Eat your soup before it gets cold.
193744,1075501,May I put it here?,Can I put it here?,Can I put it here?,Can I put it here?: Can I put it there?: Can I put it here?,Can I put it here?
193745,1075502,We should always obey laws.,We must always obey the laws.,We should always obey the laws.,"We always have to obey the laws, and we should always be subject to the law.",We should always abide by the laws.
194256,1084522,I can't drink milk.,I can't drink milk.,I can't drink milk.,I can't drink milk.,I can't handle milk. I can't drink milk.
196963,1094582,Tom disappeared.,Tom's gone.,Tom disappeared.... Tomi disappeared....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,Tom's missing.,Tom has disappeared.
199055,1098659,Read this.,Read this.,Read this.? Read this.,Read this.,Read this.
199703,1107280,The cat is black.,The cat is black.,The cat's black.,The cat's black.,The cat is black.
200020,1110791,I'm afraid of heights.,I'm afraid of heights.,I'm afraid of heights.,"I'm dizzy, I'm dizzy.",I suffer from acrophobia. I'm afraid of heights.
200054,1111548,Hop in.,Get in.,Come on in... Join us.,Get up. Get up.,"Come on, jump in!"
200881,1122514,I'm a woman.,I'm a woman.,I am a woman.,I'm a woman.,I'm a woman.
201009,1123763,Is she Japanese?,Is she Japanese?,Is he Japanese?,Is she Japanese?,Is she Japanese?
201363,1126684,Help me!,"Help me, help me, help me!",Help me!,Help me!,Help me!
203216,1151779,Today is Thursday.,Today's Thursday.,It's Thursday.,It's Thursday.,It's Thursday.
203271,1152188,She is stubborn.,She's stubborn.,He's stubborn.,She's obstinate.,She's a stubborn one.
204054,1164341,Tom overslept.,Tom overslept.,Tom overslept.,Tom woke up too late.,Tom slept over.
206235,1194034,I'm not a doctor.,I'm not a doctor.,"I'm not a doctor, I'm not a doctor, I'm not a doctor, I'm not a doctor.","I'm not a doctor, I'm not a doctor.",I'm not a doctor. I'm not a doctor.
